timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.3600,BUY,96338,0.3600,0.37
,book,0.37,SELL,73540,0.3600,0.37
2026-01-03T20:42:04.251177Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T20:42:16.431217Z,price_change,0.36,BUY,49,0.36,0.37
2026-01-03T20:42:49.940242Z,price_change,0.37,SELL,-15,0.36,0.37
2026-01-03T20:43:18.000992Z,price_change,0.34,BUY,-500,0.36,0.37
2026-01-03T20:43:34.626115Z,price_change,0.4,SELL,1944,0.36,0.37
2026-01-03T20:43:52.20532Z,price_change,0.35,BUY,-5,0.36,0.37
,book,0.3600,BUY,96387,0.3600,0.37
,book,0.37,SELL,73525,0.3600,0.37
2026-01-03T20:44:37.001141Z,price_change,0.34,BUY,-500,0.36,0.37
2026-01-03T20:44:38.31124Z,price_change,0.38,SELL,-10,0.36,0.37
2026-01-03T20:44:38.442366Z,price_change,0.38,SELL,10,0.36,0.37
2026-01-03T20:44:41.027058Z,price_change,0.4,SELL,844,0.36,0.37
2026-01-03T20:44:41.05422Z,price_change,0.37,SELL,-192,0.36,0.37
2026-01-03T20:44:48.838727Z,price_change,0.39,SELL,-144,0.36,0.37
2026-01-03T20:44:49.300309Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T20:44:59.937757Z,price_change,0.39,SELL,-294,0.36,0.37
2026-01-03T20:45:02.758139Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T20:45:14.688081Z,price_change,0.37,SELL,-79,0.36,0.37
2026-01-03T20:45:14.788961Z,price_change,0.36,BUY,40,0.36,0.37
,book,0.3600,BUY,96427,0.3600,0.37
,book,0.37,SELL,72794,0.3600,0.37
2026-01-03T20:48:24.349211Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T20:48:48.245361Z,price_change,0.4,SELL,208,0.36,0.37
2026-01-03T20:48:48.372465Z,price_change,0.4,SELL,-81,0.36,0.37
2026-01-03T20:48:48.64481Z,price_change,0.39,SELL,963,0.36,0.37
2026-01-03T20:48:48.709746Z,price_change,0.4,SELL,-691,0.36,0.37
2026-01-03T20:48:49.653433Z,price_change,0.41000000000000003,SELL,-1665,0.36,0.37
2026-01-03T20:48:49.684745Z,price_change,0.42000000000000004,SELL,1694,0.36,0.37
2026-01-03T20:48:49.74077Z,price_change,0.38,SELL,-13264,0.36,0.37
2026-01-03T20:48:49.838307Z,price_change,0.35,BUY,23697,0.36,0.37
2026-01-03T20:48:50.129007Z,price_change,0.4,SELL,-208,0.36,0.37
2026-01-03T20:48:50.292814Z,price_change,0.38,SELL,13163,0.36,0.37
2026-01-03T20:48:50.924347Z,price_change,0.4,SELL,-81,0.36,0.37
2026-01-03T20:48:51.038669Z,price_change,0.38,SELL,-200,0.36,0.37
2026-01-03T20:48:51.083821Z,price_change,0.39,SELL,200,0.36,0.37
2026-01-03T20:48:51.321394Z,price_change,0.4,SELL,437,0.36,0.37
2026-01-03T20:48:51.472727Z,price_change,0.35,BUY,10,0.36,0.37
2026-01-03T20:48:52.535075Z,price_change,0.4,SELL,-1552,0.36,0.37
2026-01-03T20:48:52.666028Z,price_change,0.4,SELL,-833,0.36,0.37
2026-01-03T20:48:52.71598Z,price_change,0.4,SELL,-437,0.36,0.37
2026-01-03T20:48:53.060985Z,price_change,0.4,SELL,-294,0.36,0.37
2026-01-03T20:48:53.337071Z,price_change,0.4,SELL,294,0.36,0.37
2026-01-03T20:48:54.053839Z,price_change,0.4,SELL,1064,0.36,0.37
2026-01-03T20:48:59.000442Z,price_change,0.35,BUY,-10,0.36,0.37
2026-01-03T20:48:59.000442Z,price_change,0.34,BUY,-500,0.36,0.37
2026-01-03T20:49:03.798573Z,price_change,0.33,BUY,30,0.36,0.37
2026-01-03T20:49:03.799485Z,price_change,0.4,SELL,30,0.36,0.37
2026-01-03T20:49:03.821983Z,price_change,0.33,BUY,30,0.36,0.37
2026-01-03T20:49:03.823023Z,price_change,0.4,SELL,30,0.36,0.37
2026-01-03T20:49:03.825595Z,price_change,0.33,BUY,30,0.36,0.37
2026-01-03T20:49:03.827107Z,price_change,0.4,SELL,30,0.36,0.37
2026-01-03T20:49:16.953278Z,price_change,0.4,SELL,-437,0.36,0.37
2026-01-03T20:49:17.373691Z,price_change,0.4,SELL,38,0.36,0.37
2026-01-03T20:49:25.24698Z,price_change,0.33,BUY,500,0.36,0.37
2026-01-03T20:49:33.579481Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T20:49:43.385751Z,price_change,0.38,SELL,-10,0.36,0.37
2026-01-03T20:49:43.526777Z,price_change,0.38,SELL,10,0.36,0.37
2026-01-03T20:50:01.58625Z,price_change,0.37,SELL,-5,0.36,0.37
2026-01-03T20:50:02.000531Z,price_change,0.34,BUY,-500,0.36,0.37
2026-01-03T20:50:09.697053Z,price_change,0.36,BUY,12,0.36,0.37
2026-01-03T20:50:26.141657Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T20:50:48.229636Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T20:50:55.500412Z,price_change,0.37,SELL,-129,0.36,0.37
2026-01-03T20:51:08.639396Z,price_change,0.39,SELL,115,0.36,0.37
2026-01-03T20:51:08.714511Z,price_change,0.4,SELL,120,0.36,0.37
2026-01-03T20:51:43.332135Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T20:51:43.368603Z,price_change,0.37,SELL,-72,0.36,0.37
2026-01-03T20:51:44.002813Z,price_change,0.33,BUY,-2000,0.36,0.37
2026-01-03T20:51:59.205841Z,price_change,0.33,BUY,-500,0.36,0.37
2026-01-03T20:52:50.555743Z,price_change,0.36,BUY,12,0.36,0.37
2026-01-03T20:53:05.678222Z,price_change,0.37,SELL,-2,0.36,0.37
,book,0.3600,BUY,139962,0.3600,0.37
,book,0.37,SELL,15410,0.3600,0.37
2026-01-03T23:16:07.98983Z,price_change,0.37,SELL,-700,0.36,0.37
2026-01-03T23:16:10.063168Z,price_change,0.4,SELL,-98,0.36,0.37
2026-01-03T23:16:13.969041Z,price_change,0.39,SELL,98,0.36,0.37
2026-01-03T23:16:23.000829Z,price_change,0.33,BUY,-500,0.36,0.37
2026-01-03T23:16:28.304717Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:16:28.586091Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:16:45.109997Z,price_change,0.37,SELL,-12,0.36,0.37
2026-01-03T23:16:49.247673Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T23:16:54.596014Z,price_change,0.39,SELL,-98,0.36,0.37
2026-01-03T23:16:58.707461Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:16:58.913143Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:17:26.758331Z,price_change,0.37,SELL,-100,0.36,0.37
2026-01-03T23:17:29.102283Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:17:29.205734Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:17:35.000789Z,price_change,0.33,BUY,-500,0.36,0.37
2026-01-03T23:17:44.965224Z,price_change,0.37,SELL,-200,0.36,0.37
2026-01-03T23:17:51.300586Z,price_change,0.39,SELL,-316,0.36,0.37
2026-01-03T23:17:51.343435Z,price_change,0.39,SELL,-656,0.36,0.37
2026-01-03T23:17:51.877068Z,price_change,0.37,SELL,-258,0.36,0.37
2026-01-03T23:17:52.524708Z,price_change,0.38,SELL,-10,0.36,0.37
2026-01-03T23:17:52.653797Z,price_change,0.38,SELL,10,0.36,0.37
2026-01-03T23:17:56.736551Z,price_change,0.33,BUY,500,0.36,0.37
2026-01-03T23:17:59.304153Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:17:59.431679Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:18:12.812877Z,price_change,0.36,BUY,380,0.36,0.37
2026-01-03T23:18:20.731867Z,price_change,0.4,SELL,-60,0.36,0.37
2026-01-03T23:18:21.221176Z,price_change,0.4,SELL,38,0.36,0.37
2026-01-03T23:18:22.195602Z,price_change,0.37,SELL,-12,0.36,0.37
2026-01-03T23:18:29.764817Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:18:29.939586Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:18:31.841182Z,price_change,0.37,SELL,-12,0.36,0.37
2026-01-03T23:18:37.806205Z,price_change,0.39,SELL,-129,0.36,0.37
2026-01-03T23:18:40.580324Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:18:41.235886Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:18:53.229249Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:18:53.915987Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:19:00.262976Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:19:00.516223Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:19:08.601256Z,price_change,0.39,SELL,-85,0.36,0.37
2026-01-03T23:19:30.849921Z,price_change,0.35,BUY,-1000,0.36,0.37
2026-01-03T23:19:30.851757Z,price_change,0.38,SELL,-1000,0.36,0.37
2026-01-03T23:19:30.853116Z,price_change,0.37,SELL,-183,0.36,0.37
2026-01-03T23:19:30.857708Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:19:30.885728Z,price_change,0.37,SELL,-634,0.36,0.37
2026-01-03T23:19:30.885728Z,price_change,0.36,BUY,-816,0.36,0.37
2026-01-03T23:19:31.104778Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:19:32.945044Z,price_change,0.36,BUY,1000,0.36,0.37
2026-01-03T23:19:32.9469Z,price_change,0.37,SELL,-634,0.36,0.37
2026-01-03T23:19:32.9469Z,price_change,0.36,BUY,-1000,0.36,0.37
2026-01-03T23:19:41.845453Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:19:47.138884Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:19:48.536441Z,price_change,0.37,SELL,-2,0.36,0.37
2026-01-03T23:19:51.998546Z,price_change,0.35,BUY,1000,0.36,0.37
2026-01-03T23:19:52.00054Z,price_change,0.36,BUY,366,0.36,0.37
2026-01-03T23:19:52.003625Z,price_change,0.37,SELL,633,0.36,0.37
2026-01-03T23:19:52.005037Z,price_change,0.38,SELL,1000,0.36,0.37
2026-01-03T23:20:01.203474Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:20:01.389297Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:20:25.3842Z,price_change,0.39,SELL,980,0.36,0.37
2026-01-03T23:20:25.789729Z,price_change,0.39,SELL,-156,0.36,0.37
2026-01-03T23:20:29.003749Z,price_change,0.4,SELL,-38,0.36,0.37
2026-01-03T23:20:29.266854Z,price_change,0.4,SELL,-452,0.36,0.37
2026-01-03T23:20:29.387554Z,price_change,0.4,SELL,38,0.36,0.37
2026-01-03T23:20:30.810041Z,price_change,0.4,SELL,452,0.36,0.37
2026-01-03T23:20:31.505719Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:20:31.655171Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:20:31.711124Z,price_change,0.4,SELL,-452,0.36,0.37
2026-01-03T23:20:31.71238Z,price_change,0.4,SELL,-38,0.36,0.37
2026-01-03T23:20:32.069626Z,price_change,0.4,SELL,490,0.36,0.37
2026-01-03T23:20:34.397618Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:20:42.952002Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:20:56.000229Z,price_change,0.33,BUY,-500,0.36,0.37
2026-01-03T23:21:01.96231Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:21:02.274592Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:21:17.76834Z,price_change,0.33,BUY,500,0.36,0.37
2026-01-03T23:21:26.735625Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:21:29.98694Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:21:32.56779Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:21:33.114447Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:21:36.794609Z,price_change,0.37,SELL,-600,0.36,0.37
2026-01-03T23:21:38.366282Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:21:42.307115Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:21:49.000868Z,price_change,0.34,BUY,-500,0.36,0.37
2026-01-03T23:22:03.304797Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:22:03.470304Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:22:08.291306Z,price_change,0.37,SELL,-125,0.36,0.37
2026-01-03T23:22:14.566998Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T23:22:33.763437Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:22:34.053198Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:22:37.894447Z,price_change,0.4,SELL,-38,0.36,0.37
2026-01-03T23:22:38.707125Z,price_change,0.39,SELL,61,0.36,0.37
2026-01-03T23:22:47.13358Z,price_change,0.37,SELL,-100,0.36,0.37
2026-01-03T23:23:04.053029Z,price_change,0.37,SELL,-51,0.36,0.37
2026-01-03T23:23:04.210774Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:23:04.311973Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:23:05.299062Z,price_change,0.38,SELL,-10,0.36,0.37
2026-01-03T23:23:05.440179Z,price_change,0.38,SELL,10,0.36,0.37
2026-01-03T23:23:20.752617Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:23:22.903337Z,price_change,0.37,SELL,-256,0.36,0.37
2026-01-03T23:23:34.416731Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:23:34.549884Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:23:37.725845Z,price_change,0.36,BUY,4,0.36,0.37
2026-01-03T23:23:52.489332Z,price_change,0.38,SELL,7,0.36,0.37
2026-01-03T23:24:04.702669Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:24:04.880155Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:24:05.177995Z,price_change,0.38,SELL,-7,0.36,0.37
2026-01-03T23:24:11.204503Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:24:17.00025Z,price_change,0.33,BUY,-500,0.36,0.37
2026-01-03T23:24:23.07023Z,price_change,0.35,BUY,-5,0.36,0.37
2026-01-03T23:24:27.986891Z,price_change,0.35,BUY,5,0.36,0.37
2026-01-03T23:24:33.24562Z,price_change,0.33,BUY,500,0.36,0.37
2026-01-03T23:24:34.600439Z,price_change,0.37,SELL,-11509,0.36,0.37
2026-01-03T23:24:34.600439Z,price_change,0.37,SELL,-22,0.36,0.37
2026-01-03T23:24:34.600439Z,price_change,0.37,SELL,-633,0.36,0.38
2026-01-03T23:24:34.600439Z,price_change,0.35,BUY,-1000,0.36,0.38
2026-01-03T23:24:34.600439Z,price_change,0.36,BUY,-366,0.36,0.38
2026-01-03T23:24:34.600439Z,price_change,0.38,SELL,-1000,0.36,0.38
2026-01-03T23:24:35.007199Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:24:35.112594Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:24:35.201019Z,price_change,0.41000000000000003,SELL,2000,0.36,0.38
2026-01-03T23:24:48.908367Z,price_change,0.35,BUY,-5,0.36,0.38
2026-01-03T23:24:52.692499Z,price_change,0.39,SELL,7,0.36,0.38
2026-01-03T23:25:05.253077Z,price_change,0.35,BUY,1000,0.36,0.38
2026-01-03T23:25:05.254459Z,price_change,0.36,BUY,999,0.36,0.38
2026-01-03T23:25:05.256567Z,price_change,0.38,SELL,1000,0.36,0.38
2026-01-03T23:25:05.30739Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:25:05.407559Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:25:34.159533Z,price_change,0.38,SELL,-252,0.36,0.38
2026-01-03T23:25:35.506246Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:25:35.95453Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:25:40.682864Z,price_change,0.38,SELL,-2,0.36,0.38
2026-01-03T23:25:41.574907Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:25:41.672321Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:25:51.282814Z,price_change,0.4,SELL,18294,0.36,0.38
2026-01-03T23:25:51.364697Z,price_change,0.4,SELL,19600,0.36,0.38
2026-01-03T23:25:56.041648Z,price_change,0.35,BUY,19138,0.36,0.38
2026-01-03T23:26:02.116158Z,price_change,0.39,SELL,-7,0.36,0.38
2026-01-03T23:26:09.753864Z,price_change,0.39,SELL,7,0.36,0.38
2026-01-03T23:26:11.804495Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:26:12.063236Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:26:42.209742Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:26:42.52826Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:27:06.706376Z,price_change,0.39,SELL,947,0.36,0.38
2026-01-03T23:27:07.165675Z,price_change,0.39,SELL,-947,0.36,0.38
2026-01-03T23:27:10.00762Z,price_change,0.39,SELL,947,0.36,0.38
2026-01-03T23:27:10.060364Z,price_change,0.4,SELL,-490,0.36,0.38
2026-01-03T23:27:12.858514Z,price_change,0.36,BUY,-200,0.36,0.38
2026-01-03T23:27:12.967677Z,price_change,0.36,BUY,200,0.36,0.38
2026-01-03T23:27:14.000009Z,price_change,0.34,BUY,-500,0.36,0.38
2026-01-03T23:27:32.001042Z,price_change,0.33,BUY,-500,0.36,0.38
2026-01-03T23:27:35.401953Z,price_change,0.36,BUY,-999,0.36,0.38
2026-01-03T23:27:35.443481Z,price_change,0.36,BUY,181,0.36,0.38
2026-01-03T23:27:35.445088Z,price_change,0.37,SELL,818,0.36,0.37
2026-01-03T23:27:35.948296Z,price_change,0.41000000000000003,SELL,-2000,0.36,0.37
2026-01-03T23:27:37.523075Z,price_change,0.39,SELL,-7,0.36,0.37
2026-01-03T23:27:39.501555Z,price_change,0.34,BUY,500,0.36,0.37
2026-01-03T23:27:39.950666Z,price_change,0.37,SELL,-25,0.36,0.37
2026-01-03T23:27:43.105621Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:27:43.250001Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:27:52.120451Z,price_change,0.33,BUY,500,0.36,0.37
2026-01-03T23:27:58.33145Z,price_change,0.36,BUY,25,0.36,0.37
2026-01-03T23:27:59.715135Z,price_change,0.37,SELL,-64,0.36,0.37
2026-01-03T23:28:08.675139Z,price_change,0.34,BUY,5612,0.36,0.37
2026-01-03T23:28:09.877776Z,price_change,0.38,SELL,-10,0.36,0.37
2026-01-03T23:28:10.084655Z,price_change,0.38,SELL,10,0.36,0.37
2026-01-03T23:28:10.39648Z,price_change,0.4,SELL,-39,0.36,0.37
2026-01-03T23:28:11.786468Z,price_change,0.4,SELL,51,0.36,0.37
2026-01-03T23:28:13.563001Z,price_change,0.36,BUY,-200,0.36,0.37
2026-01-03T23:28:14.492149Z,price_change,0.37,SELL,-12,0.36,0.37
2026-01-03T23:28:14.691208Z,price_change,0.36,BUY,200,0.36,0.37
2026-01-03T23:28:31.606019Z,price_change,0.36,BUY,76,0.36,0.37
