timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.7000,BUY,85,0.7000,0.71
,book,0.71,SELL,15118,0.7000,0.71
2026-01-08T01:06:14.713376Z,price_change,0.27,BUY,-247,0.7,0.7100
2026-01-08T01:06:14.764266Z,price_change,0.25,BUY,247,0.7,0.7100
2026-01-08T01:06:15.143262Z,price_change,0.68,BUY,342,0.7,0.7100
,book,0.7000,BUY,24714,0.7000,0.71
,book,0.71,SELL,15785,0.7000,0.71
2026-01-08T01:07:43.968703Z,price_change,0.7100,SELL,-1,0.7,0.7100
1767834463,last_trade_price,0.71,BUY,1,0.7,0.7100
2026-01-08T01:07:44.000504Z,price_change,0.59,BUY,-700,0.7,0.7100
2026-01-08T01:07:44.000504Z,price_change,0.7600,SELL,-700,0.7,0.7100
2026-01-08T01:07:44.821639Z,price_change,0.7100,SELL,-1,0.7,0.7100
1767834464,last_trade_price,0.71,BUY,1,0.7,0.7100
2026-01-08T01:07:47.479451Z,price_change,0.7300,SELL,-1066,0.7,0.7100
2026-01-08T01:07:49.268876Z,price_change,0.7400,SELL,16800,0.7,0.7100
2026-01-08T01:07:49.414499Z,price_change,0.7500,SELL,-16800,0.7,0.7100
2026-01-08T01:07:49.755307Z,price_change,0.7400,SELL,1066,0.7,0.7100
2026-01-08T01:07:50.064302Z,price_change,0.7100,SELL,-69,0.7,0.7100
1767834470,last_trade_price,0.71,BUY,69,0.7,0.7100
2026-01-08T01:07:51.25424Z,price_change,0.68,BUY,-1901,0.7,0.7100
2026-01-08T01:07:51.278479Z,price_change,0.69,BUY,-1901,0.7,0.7100
2026-01-08T01:07:51.317684Z,price_change,0.69,BUY,1901,0.7,0.7100
2026-01-08T01:07:51.320739Z,price_change,0.7,BUY,1901,0.7,0.7100
2026-01-08T01:07:51.390763Z,price_change,0.7,BUY,-1901,0.7,0.7100
2026-01-08T01:07:51.433616Z,price_change,0.69,BUY,1901,0.7,0.7100
2026-01-08T01:07:51.468346Z,price_change,0.69,BUY,-1901,0.7,0.7100
2026-01-08T01:07:51.509996Z,price_change,0.68,BUY,1901,0.7,0.7100
2026-01-08T01:07:51.590529Z,price_change,0.7200,SELL,-94,0.7,0.7100
2026-01-08T01:07:51.590529Z,price_change,0.7100,SELL,94,0.7,0.7100
2026-01-08T01:07:55.589616Z,price_change,0.7100,SELL,-8,0.7,0.7100
1767834475,last_trade_price,0.71,BUY,8,0.7,0.7100
2026-01-08T01:07:56.12827Z,price_change,0.68,BUY,150,0.7,0.7100
2026-01-08T01:07:56.143524Z,price_change,0.67,BUY,-150,0.7,0.7100
2026-01-08T01:07:56.834828Z,price_change,0.59,BUY,700,0.7,0.7100
2026-01-08T01:07:56.837725Z,price_change,0.7600,SELL,700,0.7,0.7100
2026-01-08T01:07:57.228587Z,price_change,0.8500,SELL,100,0.7,0.7100
2026-01-08T01:07:58.374697Z,price_change,0.68,BUY,-1901,0.7,0.7100
2026-01-08T01:07:59.000563Z,price_change,0.7600,SELL,-700,0.7,0.7100
2026-01-08T01:07:59.000563Z,price_change,0.59,BUY,-700,0.7,0.7100
2026-01-08T01:07:59.11689Z,price_change,0.69,BUY,100,0.7,0.7100
2026-01-08T01:07:59.327031Z,price_change,0.69,BUY,1901,0.7,0.7100
2026-01-08T01:08:00.815694Z,price_change,0.7,BUY,-24714,0.69,0.7100
2026-01-08T01:08:00.815694Z,price_change,0.7000,SELL,15286,0.69,0.7000
1767834480,last_trade_price,0.3,SELL,24714,0.69,0.7000
2026-01-08T01:08:00.853074Z,price_change,0.65,BUY,121,0.69,0.7000
2026-01-08T01:08:00.979639Z,price_change,0.69,BUY,-1901,0.69,0.7000
2026-01-08T01:08:00.981519Z,price_change,0.67,BUY,-2851,0.69,0.7000
2026-01-08T01:08:00.982823Z,price_change,0.7400,SELL,-2851,0.69,0.7000
2026-01-08T01:08:00.983796Z,price_change,0.7300,SELL,-1901,0.69,0.7000
2026-01-08T01:08:00.98453Z,price_change,0.7400,SELL,-24714,0.69,0.7000
2026-01-08T01:08:00.98453Z,price_change,0.41,BUY,-7604,0.69,0.7000
2026-01-08T01:08:00.985205Z,price_change,0.31,BUY,-47528,0.69,0.7000
2026-01-08T01:08:00.985953Z,price_change,0.7200,SELL,-24714,0.69,0.7000
2026-01-08T01:08:00.986759Z,price_change,0.7200,SELL,-1901,0.69,0.7000
2026-01-08T01:08:00.987953Z,price_change,0.7400,SELL,-24714,0.69,0.7000
2026-01-08T01:08:00.990124Z,price_change,0.9900,SELL,7604,0.69,0.7000
2026-01-08T01:08:01.019046Z,price_change,0.7300,SELL,1066,0.69,0.7000
2026-01-08T01:08:01.027704Z,price_change,0.49,BUY,-274,0.69,0.7000
2026-01-08T01:08:01.03093Z,price_change,0.54,BUY,213,0.69,0.7000
2026-01-08T01:08:01.132712Z,price_change,0.41,BUY,7604,0.69,0.7000
2026-01-08T01:08:01.133109Z,price_change,0.31,BUY,47528,0.69,0.7000
2026-01-08T01:08:01.133702Z,price_change,0.68,BUY,1901,0.69,0.7000
2026-01-08T01:08:01.133904Z,price_change,0.9900,SELL,-7604,0.69,0.7000
2026-01-08T01:08:01.134412Z,price_change,0.7300,SELL,24714,0.69,0.7000
2026-01-08T01:08:01.134532Z,price_change,0.67,BUY,2851,0.69,0.7000
2026-01-08T01:08:01.136659Z,price_change,0.7100,SELL,24714,0.69,0.7000
2026-01-08T01:08:01.137193Z,price_change,0.7200,SELL,1901,0.69,0.7000
2026-01-08T01:08:01.137286Z,price_change,0.7400,SELL,2851,0.69,0.7000
2026-01-08T01:08:01.138052Z,price_change,0.7100,SELL,1901,0.69,0.7000
2026-01-08T01:08:01.261955Z,price_change,0.68,BUY,24714,0.69,0.7000
2026-01-08T01:08:01.361286Z,price_change,0.7400,SELL,-1066,0.69,0.7000
2026-01-08T01:08:01.41165Z,price_change,0.69,BUY,24714,0.69,0.7000
2026-01-08T01:08:01.449039Z,price_change,0.65,BUY,-121,0.69,0.7000
2026-01-08T01:08:02.102385Z,price_change,0.7000,SELL,-69,0.69,0.7000
1767834482,last_trade_price,0.7,BUY,69,0.69,0.7000
2026-01-08T01:08:02.128287Z,price_change,0.7100,SELL,-1901,0.69,0.7000
2026-01-08T01:08:02.16754Z,price_change,0.7200,SELL,1901,0.69,0.7000
2026-01-08T01:08:02.677687Z,price_change,0.7200,SELL,-50000,0.69,0.7000
2026-01-08T01:08:02.677687Z,price_change,0.7100,SELL,50000,0.69,0.7000
2026-01-08T01:08:02.773644Z,price_change,0.7200,SELL,-1901,0.69,0.7000
2026-01-08T01:08:02.819797Z,price_change,0.7300,SELL,1901,0.69,0.7000
2026-01-08T01:08:03.463279Z,price_change,0.7000,SELL,-34,0.69,0.7000
1767834483,last_trade_price,0.7,BUY,34,0.69,0.7000
2026-01-08T01:08:06.144916Z,price_change,0.7100,SELL,-94,0.69,0.7000
2026-01-08T01:08:06.144916Z,price_change,0.7000,SELL,94,0.69,0.7000
2026-01-08T01:08:07.376995Z,price_change,0.7000,SELL,-5,0.69,0.7000
1767834487,last_trade_price,0.7,BUY,5,0.69,0.7000
2026-01-08T01:08:10.564968Z,price_change,0.7000,SELL,-6,0.69,0.7000
1767834490,last_trade_price,0.7,BUY,6,0.69,0.7000
2026-01-08T01:08:12.005067Z,price_change,0.69,BUY,-94,0.69,0.7000
2026-01-08T01:08:12.005067Z,price_change,0.7000,SELL,-94,0.69,0.7000
1767834492,last_trade_price,0.31,SELL,94,0.69,0.7000
2026-01-08T01:08:12.159805Z,price_change,0.7000,SELL,-34,0.69,0.7000
1767834492,last_trade_price,0.7,BUY,34,0.69,0.7000
2026-01-08T01:08:12.284016Z,price_change,0.7500,SELL,700,0.69,0.7000
2026-01-08T01:08:12.749527Z,price_change,0.7200,SELL,-1,0.69,0.7000
2026-01-08T01:08:12.749527Z,price_change,0.7100,SELL,1,0.69,0.7000
2026-01-08T01:08:13.656718Z,price_change,0.7400,SELL,50,0.69,0.7000
