timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.3200,BUY,4841,0.3200,0.33
,book,0.33,SELL,50,0.3200,0.33
2026-01-08T02:13:20.293354Z,price_change,0.31,BUY,-2174,0.32,0.3300
2026-01-08T02:13:20.328484Z,price_change,0.3300,SELL,-50,0.32,0.3400
2026-01-08T02:13:20.328484Z,price_change,0.33,BUY,2122,0.33,0.3400
1767838400,last_trade_price,0.33,BUY,50,0.33,0.3400
2026-01-08T02:13:20.34311Z,price_change,0.31,BUY,-884,0.33,0.3400
2026-01-08T02:13:20.347898Z,price_change,0.3400,SELL,-615,0.33,0.3400
2026-01-08T02:13:20.355079Z,price_change,0.32,BUY,884,0.33,0.3400
2026-01-08T02:13:20.359208Z,price_change,0.32,BUY,-2500,0.33,0.3400
2026-01-08T02:13:20.359883Z,price_change,0.3500,SELL,615,0.33,0.3400
2026-01-08T02:13:20.400925Z,price_change,0.26,BUY,-62,0.33,0.3400
2026-01-08T02:13:20.41924Z,price_change,0.33,BUY,7,0.33,0.3400
2026-01-08T02:13:20.447564Z,price_change,0.26,BUY,62,0.33,0.3400
2026-01-08T02:13:20.448882Z,price_change,0.3400,SELL,150,0.33,0.3400
2026-01-08T02:13:20.494581Z,price_change,0.3400,SELL,-150,0.33,0.3400
2026-01-08T02:13:20.495494Z,price_change,0.26,BUY,-62,0.33,0.3400
2026-01-08T02:13:20.541582Z,price_change,0.3400,SELL,-1,0.33,0.3400
2026-01-08T02:13:20.541582Z,price_change,0.3500,SELL,1,0.33,0.3400
2026-01-08T02:13:20.553684Z,price_change,0.3400,SELL,10,0.33,0.3400
2026-01-08T02:13:20.566666Z,price_change,0.3,BUY,-1567,0.33,0.3400
2026-01-08T02:13:20.572024Z,price_change,0.26,BUY,-100,0.33,0.3400
2026-01-08T02:13:20.573926Z,price_change,0.33,BUY,2500,0.33,0.3400
2026-01-08T02:13:20.587331Z,price_change,0.3400,SELL,-11,0.33,0.3400
2026-01-08T02:13:20.59997Z,price_change,0.32,BUY,-884,0.33,0.3400
2026-01-08T02:13:20.601065Z,price_change,0.3500,SELL,-615,0.33,0.3400
2026-01-08T02:13:20.611625Z,price_change,0.33,BUY,884,0.33,0.3400
2026-01-08T02:13:20.612885Z,price_change,0.3600,SELL,615,0.33,0.3400
2026-01-08T02:13:20.6382Z,price_change,0.27,BUY,1489,0.33,0.3400
2026-01-08T02:13:20.649494Z,price_change,0.32,BUY,-167,0.33,0.3400
2026-01-08T02:13:20.690616Z,price_change,0.3,BUY,167,0.33,0.3400
2026-01-08T02:13:20.934686Z,price_change,0.3400,SELL,9,0.33,0.3400
2026-01-08T02:13:20.943064Z,price_change,0.3400,SELL,-10,0.33,0.3400
2026-01-08T02:13:20.960948Z,price_change,0.3400,SELL,-1,0.33,0.3400
2026-01-08T02:13:20.960948Z,price_change,0.3500,SELL,10,0.33,0.3400
2026-01-08T02:13:21.590003Z,price_change,0.23,BUY,150,0.33,0.3400
,book,0.5500,BUY,10167,0.5500,0.56
,book,0.56,SELL,50,0.5500,0.56
2026-01-08T02:14:12.879478Z,price_change,0.54,BUY,-1487,0.55,0.5600
2026-01-08T02:14:12.880778Z,price_change,0.5700,SELL,-12,0.55,0.5600
2026-01-08T02:14:12.88228Z,price_change,0.5700,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.883453Z,price_change,0.5700,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.884326Z,price_change,0.5900,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.885732Z,price_change,0.5800,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.888291Z,price_change,0.5700,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.894147Z,price_change,0.55,BUY,1487,0.55,0.5600
2026-01-08T02:14:12.897278Z,price_change,0.5900,SELL,12,0.55,0.5600
2026-01-08T02:14:12.91722Z,price_change,0.5800,SELL,-94,0.55,0.5600
2026-01-08T02:14:12.91722Z,price_change,0.6400,SELL,8,0.55,0.5600
2026-01-08T02:14:12.924934Z,price_change,0.52,BUY,-2500,0.55,0.5600
2026-01-08T02:14:12.939135Z,price_change,0.5900,SELL,-12,0.55,0.5600
2026-01-08T02:14:12.940985Z,price_change,0.55,BUY,2172,0.55,0.5600
2026-01-08T02:14:12.950102Z,price_change,0.6000,SELL,12,0.55,0.5600
2026-01-08T02:14:12.95755Z,price_change,0.5800,SELL,-167,0.55,0.5600
2026-01-08T02:14:12.965385Z,price_change,0.6400,SELL,-8,0.55,0.5600
2026-01-08T02:14:12.965385Z,price_change,0.6700,SELL,94,0.55,0.5600
2026-01-08T02:14:12.983272Z,price_change,0.5800,SELL,-2172,0.55,0.5600
2026-01-08T02:14:12.983599Z,price_change,0.7900,SELL,-1,0.55,0.5600
2026-01-08T02:14:12.983599Z,price_change,0.5700,SELL,1,0.55,0.5600
2026-01-08T02:14:12.990981Z,price_change,0.6000,SELL,-12,0.55,0.5600
2026-01-08T02:14:12.996675Z,price_change,0.53,BUY,2500,0.55,0.5600
2026-01-08T02:14:12.99917Z,price_change,0.7900,SELL,167,0.55,0.5600
2026-01-08T02:14:13.003955Z,price_change,0.6000,SELL,100,0.55,0.5600
2026-01-08T02:14:13.004286Z,price_change,0.5900,SELL,12,0.55,0.5600
2026-01-08T02:14:13.031466Z,price_change,0.49,BUY,-12,0.55,0.5600
2026-01-08T02:14:13.033161Z,price_change,0.49,BUY,-100,0.55,0.5600
2026-01-08T02:14:13.039521Z,price_change,0.7900,SELL,3,0.55,0.5600
2026-01-08T02:14:13.046158Z,price_change,0.7900,SELL,-250,0.55,0.5600
2026-01-08T02:14:13.059332Z,price_change,0.6000,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.061006Z,price_change,0.5900,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.062764Z,price_change,0.5900,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.067332Z,price_change,0.7900,SELL,-167,0.55,0.5600
2026-01-08T02:14:13.090345Z,price_change,0.6100,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.090776Z,price_change,0.6000,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.092602Z,price_change,0.5900,SELL,2172,0.55,0.5600
2026-01-08T02:14:13.096544Z,price_change,0.6000,SELL,-100,0.55,0.5600
2026-01-08T02:14:13.099612Z,price_change,0.55,BUY,-167,0.55,0.5600
2026-01-08T02:14:13.112196Z,price_change,0.5900,SELL,167,0.55,0.5600
2026-01-08T02:14:13.114135Z,price_change,0.6000,SELL,250,0.55,0.5600
2026-01-08T02:14:13.121128Z,price_change,0.5600,SELL,-50,0.55,0.5700
2026-01-08T02:14:13.126433Z,price_change,0.6700,SELL,-94,0.55,0.5700
2026-01-08T02:14:13.126433Z,price_change,0.6100,SELL,70,0.55,0.5700
2026-01-08T02:14:13.134637Z,price_change,0.55,BUY,-1487,0.55,0.5700
2026-01-08T02:14:13.139655Z,price_change,0.5900,SELL,-2172,0.55,0.5700
2026-01-08T02:14:13.140293Z,price_change,0.6100,SELL,-2172,0.55,0.5700
2026-01-08T02:14:13.140562Z,price_change,0.5900,SELL,-2172,0.55,0.5700
2026-01-08T02:14:13.141943Z,price_change,0.5900,SELL,-2172,0.55,0.5700
2026-01-08T02:14:13.14247Z,price_change,0.6000,SELL,-2172,0.55,0.5700
2026-01-08T02:14:13.144778Z,price_change,0.56,BUY,1487,0.56,0.5700
2026-01-08T02:14:13.148493Z,price_change,0.54,BUY,167,0.56,0.5700
2026-01-08T02:14:13.148957Z,price_change,0.6000,SELL,-2172,0.56,0.5700
2026-01-08T02:14:13.153449Z,price_change,0.6000,SELL,-250,0.56,0.5700
2026-01-08T02:14:13.157044Z,price_change,0.5900,SELL,-167,0.56,0.5700
2026-01-08T02:14:13.16121Z,price_change,0.5700,SELL,-1,0.56,0.5900
2026-01-08T02:14:13.16121Z,price_change,0.7800,SELL,1,0.56,0.5900
2026-01-08T02:14:13.170397Z,price_change,0.6000,SELL,100,0.56,0.5900
2026-01-08T02:14:13.175925Z,price_change,0.5900,SELL,-12,0.56,0.6000
2026-01-08T02:14:13.188997Z,price_change,0.6000,SELL,12,0.56,0.6000
2026-01-08T02:14:13.196273Z,price_change,0.7900,SELL,167,0.56,0.6000
2026-01-08T02:14:13.197135Z,price_change,0.7900,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.197894Z,price_change,0.7900,SELL,250,0.56,0.6000
2026-01-08T02:14:13.198267Z,price_change,0.8000,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.199377Z,price_change,0.7900,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.199605Z,price_change,0.7900,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.199748Z,price_change,0.8000,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.222528Z,price_change,0.8100,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.250096Z,price_change,0.7900,SELL,-167,0.56,0.6000
2026-01-08T02:14:13.251409Z,price_change,0.8000,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.252892Z,price_change,0.8100,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.253216Z,price_change,0.7900,SELL,-250,0.56,0.6000
2026-01-08T02:14:13.253618Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.254178Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.255217Z,price_change,0.8000,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.255384Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.28839Z,price_change,0.6000,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.288508Z,price_change,0.6000,SELL,250,0.56,0.6000
2026-01-08T02:14:13.289641Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.291878Z,price_change,0.6000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.292939Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.292999Z,price_change,0.5900,SELL,167,0.56,0.5900
2026-01-08T02:14:13.293211Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.293254Z,price_change,0.6100,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.30798Z,price_change,0.6000,SELL,-100,0.56,0.5900
2026-01-08T02:14:13.32921Z,price_change,0.7800,SELL,-1,0.56,0.5900
2026-01-08T02:14:13.32921Z,price_change,0.5900,SELL,1,0.56,0.5900
2026-01-08T02:14:13.348085Z,price_change,0.5900,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.348744Z,price_change,0.6000,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.349055Z,price_change,0.6000,SELL,-250,0.56,0.5900
2026-01-08T02:14:13.350114Z,price_change,0.6000,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.350162Z,price_change,0.6100,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.350501Z,price_change,0.5900,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.351126Z,price_change,0.5900,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.351967Z,price_change,0.5900,SELL,-167,0.56,0.5900
2026-01-08T02:14:13.355458Z,price_change,0.7900,SELL,-3,0.56,0.5900
2026-01-08T02:14:13.375248Z,price_change,0.6000,SELL,100,0.56,0.5900
2026-01-08T02:14:13.391403Z,price_change,0.7900,SELL,167,0.56,0.5900
2026-01-08T02:14:13.392284Z,price_change,0.7900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.393603Z,price_change,0.8000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.394854Z,price_change,0.7900,SELL,250,0.56,0.5900
2026-01-08T02:14:13.396597Z,price_change,0.7900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.398571Z,price_change,0.8100,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.411272Z,price_change,0.7900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.415224Z,price_change,0.8000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.420725Z,price_change,0.7900,SELL,-167,0.56,0.5900
2026-01-08T02:14:13.431355Z,price_change,0.7900,SELL,-250,0.56,0.5900
2026-01-08T02:14:13.432747Z,price_change,0.5900,SELL,-1,0.56,0.6000
2026-01-08T02:14:13.432747Z,price_change,0.7900,SELL,1,0.56,0.6000
2026-01-08T02:14:13.444887Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.444961Z,price_change,0.8000,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.44581Z,price_change,0.8100,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.4471Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.447155Z,price_change,0.8000,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.450649Z,price_change,0.7900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.456688Z,price_change,0.6000,SELL,250,0.56,0.6000
2026-01-08T02:14:13.46067Z,price_change,0.6100,SELL,5,0.56,0.6000
2026-01-08T02:14:13.460863Z,price_change,0.5900,SELL,167,0.56,0.5900
2026-01-08T02:14:13.487286Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.48841Z,price_change,0.6000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.488643Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.490601Z,price_change,0.6100,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.492401Z,price_change,0.5900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.492685Z,price_change,0.6000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.508875Z,price_change,0.6000,SELL,-100,0.56,0.5900
2026-01-08T02:14:13.512413Z,price_change,0.49,BUY,1,0.56,0.5900
2026-01-08T02:14:13.559301Z,price_change,0.6000,SELL,-250,0.56,0.5900
2026-01-08T02:14:13.560113Z,price_change,0.5900,SELL,-167,0.56,0.5900
2026-01-08T02:14:13.560196Z,price_change,0.6000,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.560876Z,price_change,0.5900,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.562449Z,price_change,0.6100,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.562632Z,price_change,0.6000,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.563038Z,price_change,0.5900,SELL,-2172,0.56,0.5900
2026-01-08T02:14:13.583676Z,price_change,0.5900,SELL,-2172,0.56,0.6000
2026-01-08T02:14:13.601881Z,price_change,0.7900,SELL,-1,0.56,0.6000
2026-01-08T02:14:13.601881Z,price_change,0.5900,SELL,1,0.56,0.5900
2026-01-08T02:14:13.630574Z,price_change,0.7900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.631626Z,price_change,0.7900,SELL,167,0.56,0.5900
2026-01-08T02:14:13.632838Z,price_change,0.8100,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.632846Z,price_change,0.7900,SELL,250,0.56,0.5900
2026-01-08T02:14:13.633114Z,price_change,0.6100,SELL,-70,0.56,0.5900
2026-01-08T02:14:13.636574Z,price_change,0.7900,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.636713Z,price_change,0.8000,SELL,2172,0.56,0.5900
2026-01-08T02:14:13.639058Z,price_change,0.6000,SELL,-12,0.56,0.5900
2026-01-08T02:14:13.64036Z,price_change,0.5800,SELL,42,0.56,0.5800
2026-01-08T02:14:13.651127Z,price_change,0.7900,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.652675Z,price_change,0.6100,SELL,31,0.56,0.5800
2026-01-08T02:14:13.661858Z,price_change,0.7700,SELL,500,0.56,0.5800
2026-01-08T02:14:13.667009Z,price_change,0.8000,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.692407Z,price_change,0.7700,SELL,-390,0.56,0.5800
2026-01-08T02:14:13.705486Z,price_change,0.7900,SELL,-250,0.56,0.5800
2026-01-08T02:14:13.705609Z,price_change,0.7900,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.705677Z,price_change,0.7900,SELL,-167,0.56,0.5800
2026-01-08T02:14:13.707561Z,price_change,0.7900,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.708245Z,price_change,0.8000,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.715354Z,price_change,0.8100,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.732147Z,price_change,0.8000,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.733364Z,price_change,0.7900,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.754Z,price_change,0.7700,SELL,109,0.56,0.5800
2026-01-08T02:14:13.783241Z,price_change,0.7600,SELL,167,0.56,0.5800
2026-01-08T02:14:13.783711Z,price_change,0.7800,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.784716Z,price_change,0.7700,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.785428Z,price_change,0.7600,SELL,250,0.56,0.5800
2026-01-08T02:14:13.78594Z,price_change,0.7600,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.787144Z,price_change,0.7700,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.787201Z,price_change,0.7600,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.790473Z,price_change,0.7600,SELL,2172,0.56,0.5800
2026-01-08T02:14:13.812868Z,price_change,0.5900,SELL,-1,0.56,0.5800
2026-01-08T02:14:13.812868Z,price_change,0.7900,SELL,1,0.56,0.5800
2026-01-08T02:14:13.813735Z,price_change,0.7700,SELL,-219,0.56,0.5800
2026-01-08T02:14:13.813735Z,price_change,0.7500,SELL,135,0.56,0.5800
2026-01-08T02:14:13.838513Z,price_change,0.6100,SELL,-5,0.56,0.5800
2026-01-08T02:14:13.838513Z,price_change,0.6700,SELL,42,0.56,0.5800
2026-01-08T02:14:13.853024Z,price_change,0.7700,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.854792Z,price_change,0.7600,SELL,-250,0.56,0.5800
2026-01-08T02:14:13.85516Z,price_change,0.7600,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.855224Z,price_change,0.7700,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.855597Z,price_change,0.7600,SELL,-167,0.56,0.5800
2026-01-08T02:14:13.855657Z,price_change,0.7800,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.857313Z,price_change,0.7600,SELL,-2172,0.56,0.5800
2026-01-08T02:14:13.870946Z,price_change,0.7500,SELL,-135,0.56,0.5800
2026-01-08T02:14:13.870946Z,price_change,0.6600,SELL,135,0.56,0.5800
2026-01-08T02:14:13.897966Z,price_change,0.5800,SELL,-42,0.56,0.6000
2026-01-08T02:14:13.926313Z,price_change,0.7400,SELL,167,0.56,0.6000
2026-01-08T02:14:13.926908Z,price_change,0.7400,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.928123Z,price_change,0.7500,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.928428Z,price_change,0.7400,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.929773Z,price_change,0.7500,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.950341Z,price_change,0.7400,SELL,2172,0.56,0.6000
2026-01-08T02:14:13.951004Z,price_change,0.7400,SELL,250,0.56,0.6000
2026-01-08T02:14:13.964039Z,price_change,0.6700,SELL,-42,0.56,0.6000
2026-01-08T02:14:13.964039Z,price_change,0.6500,SELL,1,0.56,0.6000
2026-01-08T02:14:13.986343Z,price_change,0.6600,SELL,-135,0.56,0.6000
2026-01-08T02:14:13.986343Z,price_change,0.6500,SELL,126,0.56,0.6000
2026-01-08T02:14:13.995081Z,price_change,0.7400,SELL,-167,0.56,0.6000
2026-01-08T02:14:13.997616Z,price_change,0.7500,SELL,1,0.56,0.6000
2026-01-08T02:14:14.001378Z,price_change,0.51,BUY,-69000,0.56,0.6000
2026-01-08T02:14:14.005862Z,price_change,0.7400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.006078Z,price_change,0.7600,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.006229Z,price_change,0.7400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.006922Z,price_change,0.7500,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.006989Z,price_change,0.7400,SELL,-250,0.56,0.6000
2026-01-08T02:14:14.007925Z,price_change,0.7500,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.028233Z,price_change,0.48,BUY,21,0.56,0.6000
2026-01-08T02:14:14.028839Z,price_change,0.7400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.041759Z,price_change,0.6400,SELL,167,0.56,0.6000
2026-01-08T02:14:14.054702Z,price_change,0.6400,SELL,26,0.56,0.6000
2026-01-08T02:14:14.069141Z,price_change,0.6500,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.070489Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.070866Z,price_change,0.6600,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.074303Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.074331Z,price_change,0.6400,SELL,250,0.56,0.6000
2026-01-08T02:14:14.074864Z,price_change,0.6500,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.096158Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.102392Z,price_change,0.6500,SELL,-126,0.56,0.6000
2026-01-08T02:14:14.111567Z,price_change,0.47,BUY,2066,0.56,0.6000
2026-01-08T02:14:14.145388Z,price_change,0.6400,SELL,-167,0.56,0.6000
2026-01-08T02:14:14.163924Z,price_change,0.6500,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.164516Z,price_change,0.6600,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.164836Z,price_change,0.6400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.164864Z,price_change,0.6400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.169012Z,price_change,0.6400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.170245Z,price_change,0.6400,SELL,-250,0.56,0.6000
2026-01-08T02:14:14.190959Z,price_change,0.6500,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.218968Z,price_change,0.6500,SELL,142,0.56,0.6000
2026-01-08T02:14:14.233042Z,price_change,0.6100,SELL,-31,0.56,0.6000
2026-01-08T02:14:14.238642Z,price_change,0.7700,SELL,44,0.56,0.6000
2026-01-08T02:14:14.247257Z,price_change,0.6000,SELL,102,0.56,0.6000
2026-01-08T02:14:14.249792Z,price_change,0.6000,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.265089Z,price_change,0.6000,SELL,102,0.56,0.6000
2026-01-08T02:14:14.27169Z,price_change,0.6400,SELL,-26,0.56,0.6000
2026-01-08T02:14:14.275292Z,price_change,0.56,BUY,1,0.56,0.6000
2026-01-08T02:14:14.276026Z,price_change,0.6000,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.280968Z,price_change,0.6500,SELL,-142,0.56,0.6000
2026-01-08T02:14:14.280968Z,price_change,0.6400,SELL,137,0.56,0.6000
2026-01-08T02:14:14.28925Z,price_change,0.6000,SELL,102,0.56,0.6000
2026-01-08T02:14:14.292765Z,price_change,0.6000,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.299201Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.301738Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.305217Z,price_change,0.6400,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.305334Z,price_change,0.6500,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.30611Z,price_change,0.6500,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.307963Z,price_change,0.6600,SELL,2172,0.56,0.6000
2026-01-08T02:14:14.308683Z,price_change,0.6000,SELL,102,0.56,0.6000
2026-01-08T02:14:14.308945Z,price_change,0.6400,SELL,250,0.56,0.6000
2026-01-08T02:14:14.311466Z,price_change,0.6000,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.312184Z,price_change,0.6400,SELL,167,0.56,0.6000
2026-01-08T02:14:14.324037Z,price_change,0.6400,SELL,-137,0.56,0.6000
2026-01-08T02:14:14.325781Z,price_change,0.6300,SELL,102,0.56,0.6000
2026-01-08T02:14:14.336192Z,price_change,0.6300,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.350584Z,price_change,0.6200,SELL,102,0.56,0.6000
2026-01-08T02:14:14.351078Z,price_change,0.6300,SELL,500,0.56,0.6000
2026-01-08T02:14:14.352361Z,price_change,0.6200,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.365355Z,price_change,0.6200,SELL,102,0.56,0.6000
2026-01-08T02:14:14.36699Z,price_change,0.6200,SELL,-102,0.56,0.6000
2026-01-08T02:14:14.369494Z,price_change,0.7500,SELL,-1,0.56,0.6000
2026-01-08T02:14:14.369494Z,price_change,0.7900,SELL,1,0.56,0.6000
2026-01-08T02:14:14.381065Z,price_change,0.6400,SELL,-167,0.56,0.6000
2026-01-08T02:14:14.381121Z,price_change,0.6500,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.384026Z,price_change,0.6200,SELL,102,0.56,0.6000
2026-01-08T02:14:14.384376Z,price_change,0.6400,SELL,-250,0.56,0.6000
2026-01-08T02:14:14.386191Z,price_change,0.6400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.386275Z,price_change,0.6400,SELL,-2172,0.56,0.6000
2026-01-08T02:14:14.386305Z,price_change,0.6600,SELL,-2172,0.56,0.6000
