timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.4300,BUY,7507,0.4300,0.45
,book,0.45,SELL,41065,0.4300,0.45
2026-01-04T15:09:15.629903Z,price_change,0.45999999999999996,SELL,50,0.43,0.45
2026-01-04T15:09:20.439426Z,price_change,0.4,BUY,500,0.43,0.45
,book,0.4300,BUY,7507,0.4300,0.45
,book,0.45,SELL,41065,0.4300,0.45
,book,0.4100,BUY,11103,0.4100,0.42
,book,0.42,SELL,36157,0.4100,0.42
,book,0.4100,BUY,11062,0.4100,0.42
,book,0.42,SELL,32401,0.4100,0.42
,book,0.4100,BUY,10101,0.4100,0.42
,book,0.42,SELL,55303,0.4100,0.42
2026-01-04T15:45:14.403404Z,price_change,0.42000000000000004,SELL,-18,0.41,0.42
2026-01-04T15:45:16.468562Z,price_change,0.36,BUY,-750,0.41,0.42
2026-01-04T15:45:19.231168Z,price_change,0.45999999999999996,SELL,-95,0.41,0.42
2026-01-04T15:45:19.393528Z,price_change,0.43000000000000005,SELL,184,0.41,0.42
2026-01-04T15:45:20.772798Z,price_change,0.43000000000000005,SELL,-50,0.41,0.42
2026-01-04T15:45:33.550045Z,price_change,0.43000000000000005,SELL,50,0.41,0.42
2026-01-04T15:46:21.861467Z,price_change,0.43000000000000005,SELL,-50,0.41,0.42
2026-01-04T15:46:28.740415Z,price_change,0.45999999999999996,SELL,-5787,0.41,0.42
2026-01-04T15:46:28.748741Z,price_change,0.44999999999999996,SELL,5682,0.41,0.42
2026-01-04T15:46:28.833949Z,price_change,0.42000000000000004,SELL,-56,0.41,0.42
2026-01-04T15:46:28.861118Z,price_change,0.35,BUY,750,0.41,0.42
2026-01-04T15:46:57.532556Z,price_change,0.42000000000000004,SELL,-44,0.41,0.42
2026-01-04T15:47:01.839229Z,price_change,0.43000000000000005,SELL,50,0.41,0.42
2026-01-04T15:47:14.103427Z,price_change,0.43000000000000005,SELL,-10000,0.41,0.42
2026-01-04T15:47:20.657374Z,price_change,0.42000000000000004,SELL,10000,0.41,0.42
2026-01-04T15:47:24.003076Z,price_change,0.38,BUY,-500,0.41,0.42
2026-01-04T15:47:31.353928Z,price_change,0.43000000000000005,SELL,-50,0.41,0.42
2026-01-04T15:47:32.060339Z,price_change,0.4,BUY,70,0.41,0.42
2026-01-04T15:48:15.043386Z,price_change,0.43000000000000005,SELL,50,0.41,0.42
2026-01-04T15:48:16.79191Z,price_change,0.38,BUY,500,0.41,0.42
2026-01-04T15:48:31.285095Z,price_change,0.42000000000000004,SELL,-22,0.41,0.42
2026-01-04T15:48:37.628026Z,price_change,0.42000000000000004,SELL,-46,0.41,0.42
2026-01-04T15:48:37.851899Z,price_change,0.42000000000000004,SELL,39,0.41,0.42
2026-01-04T15:48:45.572643Z,price_change,0.43000000000000005,SELL,-50,0.41,0.42
