timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.2800,BUY,5700,0.2800,0.31
,book,0.31,SELL,16077,0.2800,0.31
2026-01-08T01:06:14.713407Z,price_change,0.7300,SELL,-247,0.28,0.3100
2026-01-08T01:06:14.714124Z,price_change,0.7300,SELL,-247,0.28,0.3100
2026-01-08T01:06:14.714793Z,price_change,0.7300,SELL,-247,0.28,0.3100
2026-01-08T01:06:14.763843Z,price_change,0.7400,SELL,247,0.28,0.3100
2026-01-08T01:06:14.764357Z,price_change,0.7500,SELL,247,0.28,0.3100
2026-01-08T01:06:14.764738Z,price_change,0.7600,SELL,247,0.28,0.3100
2026-01-08T01:06:14.990328Z,price_change,0.3200,SELL,-100,0.28,0.3100
2026-01-08T01:06:14.990328Z,price_change,0.3100,SELL,100,0.28,0.3100
2026-01-08T01:06:15.142807Z,price_change,0.3200,SELL,342,0.28,0.3100
2026-01-08T01:06:15.386037Z,price_change,0.3100,SELL,-61,0.28,0.3100
1767834375,last_trade_price,0.31,BUY,61,0.28,0.3100
2026-01-08T01:06:15.558676Z,price_change,0.5700,SELL,103,0.28,0.3100
2026-01-08T01:06:16.24924Z,price_change,0.3100,SELL,-119,0.28,0.3100
2026-01-08T01:06:16.24924Z,price_change,0.3100,SELL,-111,0.28,0.3100
1767834376,last_trade_price,0.31,BUY,119,0.28,0.3100
1767834376,last_trade_price,0.31,BUY,111,0.28,0.3100
2026-01-08T01:06:16.28414Z,price_change,0.8900,SELL,-53,0.28,0.3100
2026-01-08T01:06:16.285465Z,price_change,0.6600,SELL,-50,0.28,0.3100
2026-01-08T01:06:16.390186Z,price_change,0.3100,SELL,-9,0.28,0.3100
1767834376,last_trade_price,0.31,BUY,9,0.28,0.3100
,book,0.2800,BUY,55618,0.2800,0.3
,book,0.3,SELL,26459,0.2800,0.3
2026-01-08T01:07:43.875372Z,price_change,0.6000,SELL,-75,0.28,0.3000
2026-01-08T01:07:44.003296Z,price_change,0.6100,SELL,55,0.28,0.3000
1767834464,last_trade_price,0.3,BUY,478,0.28,0.3000
2026-01-08T01:07:44.152528Z,price_change,0.3000,SELL,-478,0.28,0.3000
2026-01-08T01:07:44.602732Z,price_change,0.3000,SELL,-8,0.28,0.3000
1767834464,last_trade_price,0.3,BUY,8,0.28,0.3000
