timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.4100,BUY,20182,0.4100,0.42
,book,0.42,SELL,24392,0.4100,0.42
2026-01-06T04:34:11.647029Z,price_change,0.38,BUY,1000,0.41,0.42
2026-01-06T04:34:11.65562Z,price_change,0.42000000000000004,SELL,-34,0.41,0.42
1767674051,last_trade_price,0.42,BUY,34,0.41,0.42
2026-01-06T04:34:11.690331Z,price_change,0.36,BUY,-1353,0.41,0.42
2026-01-06T04:34:11.726429Z,price_change,0.39,BUY,1353,0.41,0.42
2026-01-06T04:34:11.786829Z,price_change,0.38,BUY,-150,0.41,0.42
2026-01-06T04:34:11.786829Z,price_change,0.37,BUY,150,0.41,0.42
2026-01-06T04:34:11.850509Z,price_change,0.42000000000000004,SELL,-22,0.41,0.42
1767674051,last_trade_price,0.42,BUY,22,0.41,0.42
2026-01-06T04:34:12.009454Z,price_change,0.51,SELL,-704,0.41,0.42
2026-01-06T04:34:12.009454Z,price_change,0.34,BUY,-704,0.41,0.42
2026-01-06T04:34:12.253134Z,price_change,0.42000000000000004,SELL,-114,0.41,0.42
1767674052,last_trade_price,0.42,BUY,114,0.41,0.42
2026-01-06T04:34:12.309391Z,price_change,0.42000000000000004,SELL,-16,0.41,0.42
1767674052,last_trade_price,0.42,BUY,16,0.41,0.42
2026-01-06T04:34:12.432152Z,price_change,0.42000000000000004,SELL,-6,0.41,0.42
1767674052,last_trade_price,0.42,BUY,6,0.41,0.42
2026-01-06T04:34:12.578519Z,price_change,0.39,BUY,-1238,0.41,0.42
2026-01-06T04:34:12.691095Z,price_change,0.42000000000000004,SELL,-45,0.41,0.42
1767674052,last_trade_price,0.42,BUY,45,0.41,0.42
2026-01-06T04:34:13.084187Z,price_change,0.42000000000000004,SELL,-90,0.41,0.42
1767674053,last_trade_price,0.42,BUY,90,0.41,0.42
2026-01-06T04:34:13.182612Z,price_change,0.51,SELL,704,0.41,0.42
2026-01-06T04:34:13.186465Z,price_change,0.34,BUY,704,0.41,0.42
2026-01-06T04:34:13.502911Z,price_change,0.41,BUY,-9,0.41,0.42
1767674053,last_trade_price,0.59,SELL,9,0.41,0.42
2026-01-06T04:34:13.810395Z,price_change,0.42000000000000004,SELL,-3,0.41,0.42
1767674053,last_trade_price,0.42,BUY,3,0.41,0.42
1767674053,last_trade_price,0.42,BUY,1121,0.41,0.43
2026-01-06T04:34:13.817574Z,price_change,0.42000000000000004,SELL,-1121,0.41,0.42000000000000004
2026-01-06T04:34:13.860864Z,price_change,0.37,BUY,-150,0.41,0.42000000000000004
2026-01-06T04:34:13.860864Z,price_change,0.38,BUY,150,0.41,0.42000000000000004
2026-01-06T04:34:14.366086Z,price_change,0.42000000000000004,SELL,-25,0.41,0.43
1767674054,last_trade_price,0.42,BUY,25,0.41,0.43
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
