timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.7200,BUY,600,0.7200,0.73
,book,0.73,SELL,200,0.7200,0.73
2026-01-03T20:48:20.328964Z,price_change,0.74,SELL,-5,0.72,0.73
2026-01-03T20:48:20.34003Z,price_change,0.74,SELL,-2,0.72,0.73
2026-01-03T20:48:24.259905Z,price_change,0.71,BUY,-67,0.72,0.73
2026-01-03T20:48:30.559091Z,price_change,0.41,BUY,161,0.72,0.73
2026-01-03T20:49:13.839464Z,price_change,0.72,BUY,-20,0.72,0.73
2026-01-03T20:49:31.016524Z,price_change,0.72,BUY,-2,0.72,0.73
2026-01-03T20:49:31.12552Z,price_change,0.41,BUY,-161,0.72,0.73
2026-01-03T20:49:31.12799Z,price_change,0.4,BUY,-645,0.72,0.73
2026-01-03T20:49:31.12922Z,price_change,0.39,BUY,666,0.72,0.73
2026-01-03T20:49:33.001174Z,price_change,0.77,SELL,-1400,0.72,0.73
2026-01-03T20:49:33.001174Z,price_change,0.72,BUY,-578,0.71,0.73
2026-01-03T20:49:44.609728Z,price_change,0.73,SELL,-1,0.71,0.73
2026-01-03T20:49:48.285874Z,price_change,0.71,BUY,-1,0.71,0.73
2026-01-03T20:49:50.690811Z,price_change,0.7,BUY,67,0.71,0.73
2026-01-03T20:49:54.488836Z,price_change,0.73,SELL,-15,0.71,0.73
2026-01-03T20:49:54.662891Z,price_change,0.74,SELL,-1,0.71,0.73
2026-01-03T20:49:54.662891Z,price_change,0.73,SELL,1,0.71,0.73
2026-01-03T20:49:54.863657Z,price_change,0.74,SELL,-1,0.71,0.73
2026-01-03T20:49:54.863657Z,price_change,0.73,SELL,1,0.71,0.73
2026-01-03T20:50:00.00401Z,price_change,0.05,BUY,-120,0.71,0.73
2026-01-03T20:50:01.758754Z,price_change,0.73,SELL,-20,0.71,0.73
2026-01-03T20:50:02.015746Z,price_change,0.66,BUY,-2222,0.71,0.73
2026-01-03T20:50:02.017007Z,price_change,0.8,SELL,-2222,0.71,0.73
2026-01-03T20:50:02.018445Z,price_change,0.67,BUY,-690,0.71,0.73
2026-01-03T20:50:02.019728Z,price_change,0.79,SELL,-690,0.71,0.73
2026-01-03T20:50:05.096662Z,price_change,0.63,BUY,2222,0.71,0.73
2026-01-03T20:50:05.097933Z,price_change,0.79,SELL,2222,0.71,0.73
2026-01-03T20:50:05.44211Z,price_change,0.73,SELL,-28,0.71,0.73
2026-01-03T20:50:09.974617Z,price_change,0.64,BUY,690,0.71,0.73
2026-01-03T20:50:09.976084Z,price_change,0.78,SELL,690,0.71,0.73
2026-01-03T20:50:19.986639Z,price_change,0.71,BUY,-130,0.71,0.73
2026-01-03T20:50:19.987648Z,price_change,0.76,SELL,-69,0.71,0.73
2026-01-03T20:50:19.996531Z,price_change,0.68,BUY,65,0.71,0.73
2026-01-03T20:50:20.000267Z,price_change,0.73,SELL,134,0.71,0.73
2026-01-03T20:50:28.237311Z,price_change,0.39,BUY,-666,0.71,0.73
2026-01-03T20:50:28.239918Z,price_change,0.41,BUY,628,0.71,0.73
2026-01-03T20:50:28.24123Z,price_change,0.42,BUY,183,0.71,0.73
2026-01-03T20:50:28.595124Z,price_change,0.73,SELL,-3,0.71,0.73
2026-01-03T20:50:38.977645Z,price_change,0.73,SELL,-1,0.71,0.73
2026-01-03T20:50:53.848965Z,price_change,0.72,SELL,4000,0.71,0.72
2026-01-03T20:50:53.851444Z,price_change,0.64,BUY,3000,0.71,0.72
2026-01-03T20:50:53.852605Z,price_change,0.69,BUY,1000,0.71,0.72
2026-01-03T20:50:53.853354Z,price_change,0.1,BUY,18000,0.71,0.72
2026-01-03T20:50:53.853462Z,price_change,0.45,BUY,8000,0.71,0.72
2026-01-03T20:50:53.853529Z,price_change,0.89,SELL,8000,0.71,0.72
2026-01-03T20:50:53.853578Z,price_change,0.73,SELL,4000,0.71,0.72
2026-01-03T20:50:53.854171Z,price_change,0.41,BUY,4000,0.71,0.72
2026-01-03T20:50:53.854224Z,price_change,0.72,SELL,4000,0.71,0.72
2026-01-03T20:50:53.854671Z,price_change,0.73,SELL,4000,0.71,0.72
2026-01-03T20:50:53.854714Z,price_change,0.78,SELL,3000,0.71,0.72
2026-01-03T20:50:53.854771Z,price_change,0.7,BUY,4000,0.71,0.72
2026-01-03T20:50:53.855326Z,price_change,0.9,SELL,18000,0.71,0.72
2026-01-03T20:50:53.8554Z,price_change,0.65,BUY,4000,0.71,0.72
2026-01-03T20:50:53.855428Z,price_change,0.7,BUY,4000,0.71,0.72
2026-01-03T20:50:53.856111Z,price_change,0.73,SELL,1000,0.71,0.72
2026-01-03T20:50:53.856153Z,price_change,0.75,SELL,4000,0.71,0.72
