timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,1852,0.7000,0.75
2026-01-03T20:51:00.000287Z,price_change,0.75,SELL,-1834,0.7,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,18,0.7000,0.75
2026-01-03T23:42:30.169033Z,price_change,0.96,SELL,-761,0.7,0.75
2026-01-03T23:42:30.224006Z,price_change,0.18,BUY,-1237,0.7,0.75
2026-01-03T23:42:30.397823Z,price_change,0.2,BUY,1122,0.7,0.75
2026-01-03T23:42:30.458041Z,price_change,0.96,SELL,755,0.7,0.75
2026-01-03T23:43:55.87055Z,price_change,0.19,BUY,-383,0.7,0.75
2026-01-03T23:43:55.871664Z,price_change,0.21,BUY,429,0.7,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,18,0.7000,0.75
,book,0.7000,BUY,125,0.7000,0.75
,book,0.75,SELL,18,0.7000,0.75
