timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.6900,BUY,73447,0.6900,0.7
,book,0.7,SELL,24745,0.6900,0.7
,book,0.6900,BUY,73447,0.6900,0.7
,book,0.7,SELL,24698,0.6900,0.7
2026-01-08T02:14:27.292189Z,price_change,0.7100,SELL,-1075,0.69,0.7000
2026-01-08T02:14:29.973626Z,price_change,0.7000,SELL,-348,0.69,0.7000
1767838469,last_trade_price,0.7,BUY,348,0.69,0.7000
2026-01-08T02:14:30.215951Z,price_change,0.7000,SELL,-34,0.69,0.7000
1767838470,last_trade_price,0.7,BUY,34,0.69,0.7000
2026-01-08T02:14:37.700263Z,price_change,0.7200,SELL,-2000,0.69,0.7000
2026-01-08T02:16:00.316886Z,price_change,0.7000,SELL,-25,0.69,0.7000
1767838560,last_trade_price,0.7,BUY,25,0.69,0.7000
2026-01-08T02:16:05.00102Z,price_change,0.64,BUY,-600,0.69,0.7000
2026-01-08T02:16:06.773929Z,price_change,0.7000,SELL,-13,0.69,0.7000
1767838566,last_trade_price,0.7,BUY,13,0.69,0.7000
2026-01-08T02:16:07.579232Z,price_change,0.64,BUY,600,0.69,0.7000
2026-01-08T02:16:07.668959Z,price_change,0.7000,SELL,-50,0.69,0.7000
1767838567,last_trade_price,0.7,BUY,50,0.69,0.7000
2026-01-08T02:16:07.852534Z,price_change,0.7000,SELL,-1,0.69,0.7000
1767838567,last_trade_price,0.7,BUY,1,0.69,0.7000
2026-01-08T02:16:08.000267Z,price_change,0.65,BUY,-500,0.69,0.7000
2026-01-08T02:16:10.085105Z,price_change,0.7000,SELL,-106,0.69,0.7000
1767838570,last_trade_price,0.7,BUY,106,0.69,0.7000
2026-01-08T02:16:14.113213Z,price_change,0.65,BUY,500,0.69,0.7000
2026-01-08T02:16:38.898531Z,price_change,0.7100,SELL,-3378,0.69,0.7000
2026-01-08T02:16:38.914869Z,price_change,0.7100,SELL,-1309,0.69,0.7000
2026-01-08T02:16:57.46358Z,price_change,0.7000,SELL,-62,0.69,0.7000
1767838617,last_trade_price,0.7,BUY,62,0.69,0.7000
2026-01-08T02:17:17.622445Z,price_change,0.7100,SELL,-560,0.69,0.7000
2026-01-08T02:17:25.493899Z,price_change,0.69,BUY,-72,0.69,0.7000
2026-01-08T02:17:26.50784Z,price_change,0.69,BUY,72,0.69,0.7000
2026-01-08T02:17:30.206303Z,price_change,0.69,BUY,1083,0.69,0.7000
2026-01-08T02:17:56.35173Z,price_change,0.7000,SELL,-14,0.69,0.7000
1767838676,last_trade_price,0.7,BUY,14,0.69,0.7000
2026-01-08T02:17:57.88066Z,price_change,0.69,BUY,-25,0.69,0.7000
1767838677,last_trade_price,0.31,SELL,25,0.69,0.7000
2026-01-08T02:18:00.168678Z,price_change,0.7300,SELL,-20,0.69,0.7000
2026-01-08T02:18:00.249548Z,price_change,0.7400,SELL,20,0.69,0.7000
2026-01-08T02:18:00.624336Z,price_change,0.7100,SELL,-840,0.69,0.7000
2026-01-08T02:18:00.767608Z,price_change,0.7000,SELL,-13,0.69,0.7000
1767838680,last_trade_price,0.7,BUY,13,0.69,0.7000
2026-01-08T02:18:01.402703Z,price_change,0.7200,SELL,-1566,0.69,0.7000
2026-01-08T02:18:14.121978Z,price_change,0.7000,SELL,-9,0.69,0.7000
1767838694,last_trade_price,0.7,BUY,9,0.69,0.7000
2026-01-08T02:18:22.582234Z,price_change,0.68,BUY,5055,0.69,0.7000
2026-01-08T02:18:22.583386Z,price_change,0.67,BUY,2716,0.69,0.7000
2026-01-08T02:19:04.574721Z,price_change,0.7000,SELL,-6,0.69,0.7000
1767838744,last_trade_price,0.7,BUY,6,0.69,0.7000
2026-01-08T02:19:07.000143Z,price_change,0.64,BUY,-600,0.69,0.7000
2026-01-08T02:19:09.079046Z,price_change,0.64,BUY,600,0.69,0.7000
2026-01-08T02:19:18.358835Z,price_change,0.7000,SELL,-27,0.69,0.7000
1767838758,last_trade_price,0.7,BUY,27,0.69,0.7000
2026-01-08T02:19:54.183549Z,price_change,0.7000,SELL,-2,0.69,0.7000
1767838794,last_trade_price,0.7,BUY,2,0.69,0.7000
2026-01-08T02:20:08.289841Z,price_change,0.7000,SELL,-100,0.69,0.7000
1767838808,last_trade_price,0.7,BUY,100,0.69,0.7000
2026-01-08T02:20:17.055984Z,price_change,0.7000,SELL,-13,0.69,0.7000
1767838817,last_trade_price,0.7,BUY,13,0.69,0.7000
2026-01-08T02:20:18.649529Z,price_change,0.7200,SELL,50,0.69,0.7000
2026-01-08T02:20:18.651041Z,price_change,0.7100,SELL,50,0.69,0.7000
2026-01-08T02:20:23.078167Z,price_change,0.7000,SELL,-12,0.69,0.7000
1767838823,last_trade_price,0.7,BUY,12,0.69,0.7000
2026-01-08T02:20:34.131327Z,price_change,0.7100,SELL,-139,0.69,0.7000
2026-01-08T02:20:39.227742Z,price_change,0.7000,SELL,-39,0.69,0.7000
1767838839,last_trade_price,0.7,BUY,39,0.69,0.7000
2026-01-08T02:20:41.524199Z,price_change,0.7000,SELL,-20,0.69,0.7000
1767838841,last_trade_price,0.7,BUY,20,0.69,0.7000
2026-01-08T02:20:48.217362Z,price_change,0.6,BUY,5,0.69,0.7000
2026-01-08T02:20:48.384995Z,price_change,0.7000,SELL,-4,0.69,0.7000
1767838848,last_trade_price,0.7,BUY,4,0.69,0.7000
2026-01-08T02:20:48.459362Z,price_change,0.7000,SELL,-1,0.69,0.7000
1767838848,last_trade_price,0.7,BUY,1,0.69,0.7000
2026-01-08T02:21:03.858571Z,price_change,0.67,BUY,-2634,0.69,0.7000
2026-01-08T02:21:10.406294Z,price_change,0.7100,SELL,-24093,0.69,0.7000
2026-01-08T02:21:10.853349Z,price_change,0.7100,SELL,-7271,0.69,0.7000
2026-01-08T02:21:13.488019Z,price_change,0.7000,SELL,-8,0.69,0.7000
1767838873,last_trade_price,0.7,BUY,8,0.69,0.7000
2026-01-08T02:21:14.000152Z,price_change,0.65,BUY,-500,0.69,0.7000
2026-01-08T02:21:19.431166Z,price_change,0.65,BUY,500,0.69,0.7000
2026-01-08T02:21:46.342049Z,price_change,0.7000,SELL,-6,0.69,0.7000
1767838906,last_trade_price,0.7,BUY,6,0.69,0.7000
2026-01-08T02:21:47.819516Z,price_change,0.7000,SELL,-2,0.69,0.7000
1767838907,last_trade_price,0.7,BUY,2,0.69,0.7000
2026-01-08T02:21:52.820293Z,price_change,0.7100,SELL,-5728,0.69,0.7000
2026-01-08T02:21:52.83086Z,price_change,0.7100,SELL,-4698,0.69,0.7000
2026-01-08T02:22:00.919203Z,price_change,0.68,BUY,-1232,0.69,0.7000
2026-01-08T02:22:01.320403Z,price_change,0.68,BUY,1232,0.69,0.7000
2026-01-08T02:22:01.705596Z,price_change,0.67,BUY,4299,0.69,0.7000
2026-01-08T02:22:06.475295Z,price_change,0.7100,SELL,-161,0.69,0.7000
2026-01-08T02:22:06.940237Z,price_change,0.7000,SELL,-209,0.69,0.7000
