timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.2200,BUY,30,0.2200,0.7200
,book,0.7200,SELL,842,0.2200,0.7200
2025-12-13T17:11:30.721254Z,price_change,0.1200,BUY,-500,0.22,0.72
,book,0.2200,BUY,30,0.2200,0.7200
,book,0.7200,SELL,842,0.2200,0.7200
2025-12-13T17:23:59.090287Z,price_change,0.2600,SELL,-858,0.22,0.99
2025-12-13T17:23:59.148227Z,price_change,0.0400,BUY,-759,0.22,0.99
2025-12-13T17:23:59.325938Z,price_change,0.0400,BUY,769,0.22,0.99
2025-12-13T17:23:59.382379Z,price_change,0.2600,SELL,862,0.22,0.99
,book,0.2400,BUY,10,0.2400,0.28
,book,0.28,SELL,762,0.2400,0.28
2025-12-13T20:10:55.052521Z,price_change,0.24,BUY,-10,0.23,0.28
2025-12-13T20:10:55.34102Z,price_change,0.24,BUY,10,0.24,0.28
2025-12-13T20:11:14.916662Z,price_change,0.24,BUY,-10,0.23,0.28
2025-12-13T20:11:15.196534Z,price_change,0.24,BUY,10,0.24,0.28
,book,0.2400,BUY,10,0.2400,0.28
,book,0.28,SELL,762,0.2400,0.28
2025-12-13T20:12:13.810063Z,price_change,0.24,BUY,-10,0.23,0.28
2025-12-13T20:12:14.084691Z,price_change,0.24,BUY,10,0.24,0.28
2025-12-13T20:12:33.150256Z,price_change,0.24,BUY,-10,0.23,0.28
2025-12-13T20:12:33.426934Z,price_change,0.24,BUY,10,0.24,0.28
