timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.9500,BUY,30,0.9500,0.96
,book,0.96,SELL,446,0.9500,0.96
2026-01-04T15:09:33.125128Z,price_change,0.94,BUY,-139,0.95,0.96
2026-01-04T15:09:33.125128Z,price_change,0.95,BUY,113,0.95,0.96
2026-01-04T15:09:42.068971Z,price_change,0.97,SELL,5,0.95,0.96
,book,0.9500,BUY,143,0.9500,0.96
,book,0.96,SELL,446,0.9500,0.96
,book,0.9500,BUY,148,0.9500,0.96
,book,0.96,SELL,441,0.9500,0.96
,book,0.9500,BUY,82,0.9500,0.96
,book,0.96,SELL,441,0.9500,0.96
,book,0.9400,BUY,3131,0.9400,0.96
,book,0.96,SELL,433,0.9400,0.96
2026-01-04T15:47:44.961971Z,price_change,0.96,SELL,-433,0.94,0.97
2026-01-04T15:47:44.961971Z,price_change,0.97,SELL,-20,0.94,0.97
2026-01-04T15:47:44.961971Z,price_change,0.97,SELL,-75,0.94,0.98
2026-01-04T15:47:44.961971Z,price_change,0.98,SELL,-296,0.94,0.98
2026-01-04T15:47:44.990305Z,price_change,0.97,SELL,43,0.94,0.97
2026-01-04T15:48:00.001422Z,price_change,0.94,BUY,-284,0.94,0.97
2026-01-04T15:48:01.044737Z,price_change,0.95,BUY,273,0.95,0.97
2026-01-04T15:48:24.816277Z,price_change,0.85,BUY,20,0.95,0.97
2026-01-04T15:50:56.617029Z,price_change,0.97,SELL,-3,0.95,0.97
