timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.5800,BUY,99959,0.5800,0.59
,book,0.59,SELL,14103,0.5800,0.59
2026-01-06T04:34:11.506945Z,price_change,0.5900000000000001,SELL,-77,0.58,0.59
1767674051,last_trade_price,0.59,BUY,77,0.58,0.59
2026-01-06T04:34:12.009454Z,price_change,0.48,BUY,-704,0.58,0.59
2026-01-06T04:34:12.009454Z,price_change,0.6699999999999999,SELL,-704,0.58,0.59
2026-01-06T04:34:12.558265Z,price_change,0.58,BUY,-11,0.58,0.59
1767674052,last_trade_price,0.42,SELL,11,0.58,0.59
2026-01-06T04:34:12.575755Z,price_change,0.61,SELL,-1238,0.58,0.59
2026-01-06T04:34:12.774032Z,price_change,0.5900000000000001,SELL,-411,0.58,0.59
1767674052,last_trade_price,0.59,BUY,411,0.58,0.59
2026-01-06T04:34:12.803922Z,price_change,0.63,SELL,-150,0.58,0.59
2026-01-06T04:34:12.803922Z,price_change,0.62,SELL,150,0.58,0.59
2026-01-06T04:34:13.337762Z,price_change,0.48,BUY,704,0.58,0.59
2026-01-06T04:34:13.341224Z,price_change,0.6699999999999999,SELL,704,0.58,0.59
2026-01-06T04:34:14.165133Z,price_change,0.5900000000000001,SELL,-593,0.58,0.59
1767674054,last_trade_price,0.59,BUY,593,0.58,0.59
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
,book,,BUY,,,
,book,,SELL,,,
