timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.2700,BUY,5896,0.2700,0.28
,book,0.28,SELL,1289335,0.2700,0.28
2026-01-08T02:13:20.865863Z,price_change,0.2800,SELL,-50,0.27,0.2800
1767838400,last_trade_price,0.28,BUY,50,0.27,0.2800
,book,0.2600,BUY,108132,0.2600,0.27
,book,0.27,SELL,108655,0.2600,0.27
2026-01-08T02:14:13.017565Z,price_change,0.2900,SELL,17028,0.26,0.2700
2026-01-08T02:14:13.036821Z,price_change,0.2900,SELL,18542,0.26,0.2700
2026-01-08T02:14:16.537468Z,price_change,0.2700,SELL,-83,0.26,0.2700
1767838456,last_trade_price,0.27,BUY,83,0.26,0.2700
2026-01-08T02:14:16.839443Z,price_change,0.2700,SELL,-17,0.26,0.2700
1767838456,last_trade_price,0.27,BUY,17,0.26,0.2700
2026-01-08T02:14:18.882817Z,price_change,0.2900,SELL,-333,0.26,0.2700
2026-01-08T02:14:20.384374Z,price_change,0.2700,SELL,-68,0.26,0.2700
1767838460,last_trade_price,0.27,BUY,68,0.26,0.2700
2026-01-08T02:14:20.867941Z,price_change,0.2900,SELL,500,0.26,0.2700
2026-01-08T02:14:21.219443Z,price_change,0.2700,SELL,-344,0.26,0.2700
1767838461,last_trade_price,0.27,BUY,344,0.26,0.2700
2026-01-08T02:14:22.999622Z,price_change,0.2700,SELL,-472,0.26,0.2700
1767838462,last_trade_price,0.27,BUY,472,0.26,0.2700
2026-01-08T02:14:24.383284Z,price_change,0.2900,SELL,1006,0.26,0.2700
2026-01-08T02:14:24.631714Z,price_change,0.2700,SELL,-100,0.26,0.2700
1767838464,last_trade_price,0.27,BUY,100,0.26,0.2700
2026-01-08T02:14:28.22394Z,price_change,0.21,BUY,300,0.26,0.2700
2026-01-08T02:14:28.748171Z,price_change,0.2700,SELL,-344,0.26,0.2700
1767838468,last_trade_price,0.27,BUY,344,0.26,0.2700
2026-01-08T02:14:31.135791Z,price_change,0.2700,SELL,-88,0.26,0.2700
1767838471,last_trade_price,0.27,BUY,88,0.26,0.2700
2026-01-08T02:14:31.649091Z,price_change,0.2700,SELL,-3,0.26,0.2700
1767838471,last_trade_price,0.27,BUY,3,0.26,0.2700
2026-01-08T02:14:33.488463Z,price_change,0.2700,SELL,-704,0.26,0.2700
1767838473,last_trade_price,0.27,BUY,704,0.26,0.2700
2026-01-08T02:14:33.529514Z,price_change,0.2700,SELL,-264,0.26,0.2700
1767838473,last_trade_price,0.27,BUY,264,0.26,0.2700
2026-01-08T02:14:33.991303Z,price_change,0.2700,SELL,-34,0.26,0.2700
1767838473,last_trade_price,0.27,BUY,34,0.26,0.2700
2026-01-08T02:14:37.258285Z,price_change,0.26,BUY,55,0.26,0.2700
2026-01-08T02:14:37.850432Z,price_change,0.2700,SELL,-123,0.26,0.2700
1767838477,last_trade_price,0.27,BUY,123,0.26,0.2700
2026-01-08T02:14:38.105781Z,price_change,0.24,BUY,-2000,0.26,0.2700
2026-01-08T02:14:38.700366Z,price_change,0.2900,SELL,-1000,0.26,0.2700
2026-01-08T02:14:39.097663Z,price_change,0.2700,SELL,-10,0.26,0.2700
1767838479,last_trade_price,0.27,BUY,10,0.26,0.2700
2026-01-08T02:14:39.697094Z,price_change,0.2700,SELL,-172,0.26,0.2700
1767838479,last_trade_price,0.27,BUY,172,0.26,0.2700
2026-01-08T02:14:40.826463Z,price_change,0.2700,SELL,-669,0.26,0.2700
1767838480,last_trade_price,0.27,BUY,669,0.26,0.2700
2026-01-08T02:14:41.039694Z,price_change,0.26,BUY,-50,0.26,0.2700
2026-01-08T02:14:41.137373Z,price_change,0.26,BUY,50,0.26,0.2700
2026-01-08T02:14:43.355205Z,price_change,0.3000,SELL,-1000,0.26,0.2700
2026-01-08T02:14:44.161437Z,price_change,0.2700,SELL,-100,0.26,0.2700
1767838484,last_trade_price,0.27,BUY,100,0.26,0.2700
2026-01-08T02:14:45.041081Z,price_change,0.2700,SELL,-250,0.26,0.2700
1767838485,last_trade_price,0.27,BUY,250,0.26,0.2700
2026-01-08T02:14:45.049443Z,price_change,0.26,BUY,-2,0.26,0.2700
2026-01-08T02:14:45.049443Z,price_change,0.26,BUY,-173,0.26,0.2700
1767838485,last_trade_price,0.74,SELL,2,0.26,0.2700
1767838485,last_trade_price,0.74,SELL,173,0.26,0.2700
2026-01-08T02:14:45.164673Z,price_change,0.2700,SELL,-173,0.26,0.2700
1767838485,last_trade_price,0.27,BUY,173,0.26,0.2700
2026-01-08T02:14:45.392521Z,price_change,0.2700,SELL,-28,0.26,0.2700
1767838485,last_trade_price,0.27,BUY,28,0.26,0.2700
2026-01-08T02:14:47.046245Z,price_change,0.2700,SELL,-172,0.26,0.2700
1767838487,last_trade_price,0.27,BUY,172,0.26,0.2700
2026-01-08T02:14:49.984489Z,price_change,0.2900,SELL,-13770,0.26,0.2700
2026-01-08T02:14:50.350467Z,price_change,0.2900,SELL,13972,0.26,0.2700
2026-01-08T02:14:50.434338Z,price_change,0.2,BUY,300,0.26,0.2700
2026-01-08T02:14:50.691837Z,price_change,0.2700,SELL,-50,0.26,0.2700
1767838490,last_trade_price,0.27,BUY,50,0.26,0.2700
2026-01-08T02:14:51.133084Z,price_change,0.26,BUY,-75000,0.26,0.2700
2026-01-08T02:14:51.133871Z,price_change,0.2900,SELL,-35632,0.26,0.2700
2026-01-08T02:14:51.308913Z,price_change,0.26,BUY,75000,0.26,0.2700
2026-01-08T02:14:51.310821Z,price_change,0.2800,SELL,35632,0.26,0.2700
2026-01-08T02:14:51.51991Z,price_change,0.26,BUY,200,0.26,0.2700
2026-01-08T02:14:51.642071Z,price_change,0.3000,SELL,-112,0.26,0.2700
2026-01-08T02:14:51.655858Z,price_change,0.3000,SELL,-882,0.26,0.2700
2026-01-08T02:14:51.969482Z,price_change,0.2900,SELL,-485,0.26,0.2700
2026-01-08T02:14:51.981143Z,price_change,0.26,BUY,-38,0.26,0.2700
2026-01-08T02:14:51.982005Z,price_change,0.3000,SELL,-530,0.26,0.2700
2026-01-08T02:14:52.001237Z,price_change,0.25,BUY,32,0.26,0.2700
2026-01-08T02:14:52.00378Z,price_change,0.24,BUY,34,0.26,0.2700
2026-01-08T02:14:52.005235Z,price_change,0.2800,SELL,611,0.26,0.2700
2026-01-08T02:14:52.02989Z,price_change,0.3000,SELL,980,0.26,0.2700
2026-01-08T02:14:52.17721Z,price_change,0.26,BUY,-75000,0.26,0.2700
2026-01-08T02:14:52.17873Z,price_change,0.2800,SELL,-35632,0.26,0.2700
2026-01-08T02:14:52.379681Z,price_change,0.26,BUY,75000,0.26,0.2700
2026-01-08T02:14:52.382285Z,price_change,0.2800,SELL,35632,0.26,0.2700
2026-01-08T02:14:52.940246Z,price_change,0.2700,SELL,-70,0.26,0.2700
1767838492,last_trade_price,0.27,BUY,70,0.26,0.2700
2026-01-08T02:14:52.94532Z,price_change,0.26,BUY,195,0.26,0.2700
2026-01-08T02:14:54.382772Z,price_change,0.2900,SELL,-720,0.26,0.2700
2026-01-08T02:14:55.210369Z,price_change,0.3000,SELL,-980,0.26,0.2700
2026-01-08T02:14:55.564118Z,price_change,0.2900,SELL,395,0.26,0.2700
