timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.5600,BUY,122739,0.5600,0.57
,book,0.57,SELL,17974,0.5600,0.57
2026-01-03T20:41:20.133511Z,price_change,0.6,SELL,-18488,0.56,0.57
2026-01-03T20:41:20.134839Z,price_change,0.6,SELL,-14096,0.56,0.57
2026-01-03T20:41:20.136017Z,price_change,0.6,SELL,-56844,0.56,0.57
2026-01-03T20:41:20.137121Z,price_change,0.56,BUY,-18064,0.56,0.57
2026-01-03T20:41:20.138186Z,price_change,0.56,BUY,-17102,0.56,0.57
2026-01-03T20:41:20.139085Z,price_change,0.56,BUY,-2005,0.56,0.57
2026-01-03T20:41:20.140003Z,price_change,0.5800000000000001,SELL,22327,0.56,0.57
2026-01-03T20:41:20.141162Z,price_change,0.55,BUY,1181,0.56,0.57
2026-01-03T20:41:20.142179Z,price_change,0.54,BUY,41840,0.56,0.57
2026-01-03T20:41:20.171531Z,price_change,0.56,BUY,-5000,0.56,0.57
2026-01-03T20:41:20.17435Z,price_change,0.5800000000000001,SELL,25743,0.56,0.57
2026-01-03T20:41:20.231613Z,price_change,0.6,SELL,-61899,0.56,0.57
2026-01-03T20:41:20.233005Z,price_change,0.6,SELL,-20130,0.56,0.57
2026-01-03T20:41:20.234047Z,price_change,0.6,SELL,-3887,0.56,0.57
2026-01-03T20:41:20.235652Z,price_change,0.6,SELL,-10532,0.56,0.57
2026-01-03T20:41:20.236736Z,price_change,0.6,SELL,-1229,0.56,0.57
2026-01-03T20:41:20.316166Z,price_change,0.5900000000000001,SELL,-5000,0.56,0.57
2026-01-03T20:41:20.316166Z,price_change,0.5800000000000001,SELL,5000,0.56,0.57
2026-01-03T20:41:20.348431Z,price_change,0.56,BUY,-200,0.56,0.57
2026-01-03T20:41:20.374834Z,price_change,0.55,BUY,200,0.56,0.57
2026-01-03T20:41:20.376379Z,price_change,0.49,BUY,5,0.56,0.57
2026-01-03T20:41:20.376703Z,price_change,0.56,BUY,-5,0.56,0.57
2026-01-03T20:41:20.40976Z,price_change,0.5900000000000001,SELL,-200,0.56,0.57
2026-01-03T20:41:20.410781Z,price_change,0.5800000000000001,SELL,588,0.56,0.57
2026-01-03T20:41:20.417996Z,price_change,0.5900000000000001,SELL,-75,0.56,0.57
2026-01-03T20:41:20.439425Z,price_change,0.5800000000000001,SELL,200,0.56,0.57
2026-01-03T20:41:20.476609Z,price_change,0.49,BUY,-5,0.56,0.57
2026-01-03T20:41:20.481925Z,price_change,0.5,BUY,5,0.56,0.57
2026-01-03T20:41:20.536931Z,price_change,0.55,BUY,5000,0.56,0.57
2026-01-03T20:41:20.631654Z,price_change,0.5,BUY,-5,0.56,0.57
2026-01-03T20:41:20.636275Z,price_change,0.51,BUY,5,0.56,0.57
2026-01-03T20:41:20.860639Z,price_change,0.56,BUY,-40,0.56,0.57
2026-01-03T20:41:20.9527Z,price_change,0.55,BUY,-75,0.56,0.57
2026-01-03T20:41:20.958621Z,price_change,0.52,BUY,5,0.56,0.57
2026-01-03T20:41:20.960306Z,price_change,0.51,BUY,-5,0.56,0.57
2026-01-03T20:41:21.138555Z,price_change,0.54,BUY,-100,0.56,0.57
2026-01-03T20:41:21.238547Z,price_change,0.53,BUY,5,0.56,0.57
2026-01-03T20:41:21.269472Z,price_change,0.5900000000000001,SELL,2000,0.56,0.57
2026-01-03T20:41:21.272007Z,price_change,0.55,BUY,-2000,0.56,0.57
2026-01-03T20:41:21.391534Z,price_change,0.52,BUY,-5,0.56,0.57
2026-01-03T20:41:30.325278Z,price_change,0.6,SELL,-2000,0.56,0.57
2026-01-03T20:41:30.326328Z,price_change,0.5900000000000001,SELL,-2000,0.56,0.57
2026-01-03T20:41:30.641199Z,price_change,0.6,SELL,1000,0.56,0.57
2026-01-03T20:41:30.642904Z,price_change,0.5900000000000001,SELL,1000,0.56,0.57
2026-01-03T20:41:30.679892Z,price_change,0.5800000000000001,SELL,75,0.56,0.57
2026-01-03T20:41:32.592693Z,price_change,0.56,BUY,-4128,0.56,0.57
2026-01-03T20:41:32.606802Z,price_change,0.55,BUY,-1181,0.56,0.57
2026-01-03T20:41:32.608069Z,price_change,0.55,BUY,-2873,0.56,0.57
2026-01-03T20:41:33.172866Z,price_change,0.6,SELL,1000,0.56,0.57
2026-01-03T20:41:33.174394Z,price_change,0.5900000000000001,SELL,1000,0.56,0.57
2026-01-03T20:41:33.49464Z,price_change,0.5700000000000001,SELL,-84,0.56,0.57
2026-01-03T20:41:41.001877Z,price_change,0.55,BUY,75,0.56,0.57
2026-01-03T20:41:46.502557Z,price_change,0.5700000000000001,SELL,-119,0.56,0.57
2026-01-03T20:41:51.018355Z,price_change,0.54,BUY,100,0.56,0.57
2026-01-03T20:41:51.186444Z,price_change,0.5900000000000001,SELL,100,0.56,0.57
2026-01-03T20:41:57.677528Z,price_change,0.5800000000000001,SELL,4878,0.56,0.57
2026-01-03T20:41:59.569142Z,price_change,0.5900000000000001,SELL,-4876,0.56,0.57
2026-01-03T20:41:59.610547Z,price_change,0.5900000000000001,SELL,-19,0.56,0.57
2026-01-03T20:41:59.612575Z,price_change,0.5900000000000001,SELL,-7,0.56,0.57
2026-01-03T20:42:02.163104Z,price_change,0.56,BUY,95,0.56,0.57
