timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.0100,BUY,9737,0.0100,0.02
,book,0.02,SELL,54,0.0100,0.02
2026-01-08T02:13:20.579585Z,price_change,0.0500,SELL,40,0.01,0.0200
2026-01-08T02:13:20.944691Z,price_change,0.0500,SELL,-40,0.01,0.0200
,book,0.0200,BUY,2913,0.0200,0.03
,book,0.03,SELL,8142,0.0200,0.03
2026-01-08T02:14:14.001378Z,price_change,0.1800,SELL,-691,0.02,0.0300
2026-01-08T02:14:14.001378Z,price_change,0.01,BUY,-691,0.02,0.0300
2026-01-08T02:14:18.071172Z,price_change,0.0300,SELL,-7500,0.02,0.0300
2026-01-08T02:14:18.101618Z,price_change,0.4700,SELL,-114,0.02,0.0300
2026-01-08T02:14:18.103598Z,price_change,0.5000,SELL,130,0.02,0.0300
2026-01-08T02:14:18.187234Z,price_change,0.02,BUY,-2500,0.02,0.0300
2026-01-08T02:14:19.208762Z,price_change,0.02,BUY,-50,0.02,0.0300
1767838459,last_trade_price,0.98,SELL,50,0.02,0.0300
2026-01-08T02:14:20.894753Z,price_change,0.02,BUY,-111,0.02,0.0300
1767838460,last_trade_price,0.98,SELL,111,0.02,0.0300
2026-01-08T02:14:20.92266Z,price_change,0.0300,SELL,7500,0.02,0.0300
2026-01-08T02:14:25.378855Z,price_change,0.02,BUY,-21,0.02,0.0300
1767838465,last_trade_price,0.98,SELL,21,0.02,0.0300
2026-01-08T02:14:27.359828Z,price_change,0.01,BUY,691,0.02,0.0300
2026-01-08T02:14:27.364434Z,price_change,0.1800,SELL,691,0.02,0.0300
2026-01-08T02:14:27.563511Z,price_change,0.0300,SELL,9,0.02,0.0300
2026-01-08T02:14:30.00076Z,price_change,0.01,BUY,-691,0.02,0.0300
2026-01-08T02:14:30.00076Z,price_change,0.1800,SELL,-691,0.02,0.0300
2026-01-08T02:14:31.105524Z,price_change,0.02,BUY,2500,0.02,0.0300
2026-01-08T02:14:34.456791Z,price_change,0.0400,SELL,-1000,0.02,0.0300
2026-01-08T02:14:36.790507Z,price_change,0.0500,SELL,40,0.02,0.0300
2026-01-08T02:14:37.17405Z,price_change,0.0500,SELL,-40,0.02,0.0300
2026-01-08T02:14:37.771293Z,price_change,0.2000,SELL,-47,0.02,0.0300
2026-01-08T02:14:37.771293Z,price_change,0.1500,SELL,47,0.02,0.0300
2026-01-08T02:14:40.522204Z,price_change,0.02,BUY,-21,0.02,0.0300
1767838480,last_trade_price,0.98,SELL,21,0.02,0.0300
2026-01-08T02:14:41.563974Z,price_change,0.01,BUY,691,0.02,0.0300
2026-01-08T02:14:41.5654Z,price_change,0.1800,SELL,691,0.02,0.0300
2026-01-08T02:14:41.761366Z,price_change,0.0500,SELL,40,0.02,0.0300
2026-01-08T02:14:41.785977Z,price_change,0.0300,SELL,3,0.02,0.0300
2026-01-08T02:14:42.168688Z,price_change,0.0500,SELL,-40,0.02,0.0300
2026-01-08T02:14:44.001274Z,price_change,0.1800,SELL,-691,0.02,0.0300
2026-01-08T02:14:44.001274Z,price_change,0.01,BUY,-691,0.02,0.0300
2026-01-08T02:14:48.250778Z,price_change,0.0500,SELL,250,0.02,0.0300
2026-01-08T02:14:48.549422Z,price_change,0.02,BUY,-1,0.02,0.0300
1767838488,last_trade_price,0.98,SELL,1,0.02,0.0300
2026-01-08T02:14:52.466086Z,price_change,0.1500,SELL,-47,0.02,0.0300
2026-01-08T02:14:52.93991Z,price_change,0.0300,SELL,-333,0.02,0.0300
1767838492,last_trade_price,0.03,BUY,333,0.02,0.0300
