timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.5700,BUY,703,0.5700,0.59
,book,0.59,SELL,17,0.5700,0.59
2026-01-08T02:13:20.339821Z,price_change,0.57,BUY,-26,0.57,0.5900
2026-01-08T02:13:20.582611Z,price_change,0.6000,SELL,1,0.57,0.5900
2026-01-08T02:13:20.716807Z,price_change,0.5900,SELL,-5,0.57,0.5900
1767838400,last_trade_price,0.59,BUY,5,0.57,0.5900
2026-01-08T02:13:21.000054Z,price_change,0.6100,SELL,-69000,0.57,0.5900
2026-01-08T02:13:21.200592Z,price_change,0.6200,SELL,-233,0.57,0.5900
2026-01-08T02:13:21.431576Z,price_change,0.6000,SELL,-7500,0.57,0.5900
2026-01-08T02:13:21.462385Z,price_change,0.6300,SELL,7500,0.57,0.5900
2026-01-08T02:13:21.651396Z,price_change,0.56,BUY,-565,0.57,0.5900
2026-01-08T02:13:21.673151Z,price_change,0.53,BUY,500,0.57,0.5900
2026-01-08T02:13:21.826964Z,price_change,0.5900,SELL,-12,0.57,0.6000
1767838401,last_trade_price,0.59,BUY,12,0.57,0.6000
2026-01-08T02:13:21.912245Z,price_change,0.49,BUY,-2149,0.57,0.6000
2026-01-08T02:13:21.979934Z,price_change,0.58,BUY,1,0.58,0.6000
,book,0.5500,BUY,458,0.5500,0.56
,book,0.56,SELL,453,0.5500,0.56
2026-01-08T02:14:12.937751Z,price_change,0.53,BUY,-2500,0.55,0.5600
2026-01-08T02:14:12.963248Z,price_change,0.55,BUY,2500,0.55,0.5600
2026-01-08T02:14:13.069525Z,price_change,0.5600,SELL,10000,0.55,0.5600
2026-01-08T02:14:13.10548Z,price_change,0.55,BUY,-2500,0.55,0.5600
2026-01-08T02:14:13.224985Z,price_change,0.6000,SELL,19,0.55,0.5600
2026-01-08T02:14:13.341527Z,price_change,0.54,BUY,2500,0.55,0.5600
2026-01-08T02:14:13.832257Z,price_change,0.55,BUY,17797,0.55,0.5600
2026-01-08T02:14:13.860004Z,price_change,0.48,BUY,-21,0.55,0.5600
