timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.8900,BUY,3690,0.8900,0.9
,book,0.9,SELL,12,0.8900,0.9
2026-01-08T02:13:20.636502Z,price_change,0.9200,SELL,452,0.89,0.9000
2026-01-08T02:13:22.03362Z,price_change,0.9200,SELL,-2000,0.89,0.9000
,book,0.9100,BUY,24271,0.9100,0.93
,book,0.93,SELL,15744,0.9100,0.93
2026-01-08T02:14:14.062337Z,price_change,0.9300,SELL,-49,0.91,0.9300
1767838454,last_trade_price,0.93,BUY,49,0.91,0.9300
2026-01-08T02:14:14.08955Z,price_change,0.9,BUY,-746,0.91,0.9300
2026-01-08T02:14:14.090836Z,price_change,0.9300,SELL,-754,0.91,0.9300
2026-01-08T02:14:14.103527Z,price_change,0.91,BUY,746,0.91,0.9300
2026-01-08T02:14:14.106108Z,price_change,0.9400,SELL,754,0.91,0.9300
2026-01-08T02:14:14.349972Z,price_change,0.91,BUY,-262,0.91,0.9300
1767838454,last_trade_price,0.09,SELL,262,0.91,0.9300
2026-01-08T02:14:14.39327Z,price_change,0.9300,SELL,-1,0.91,0.9300
2026-01-08T02:14:14.39327Z,price_change,0.9400,SELL,1,0.91,0.9300
2026-01-08T02:14:14.683973Z,price_change,0.9300,SELL,1,0.91,0.9300
2026-01-08T02:14:15.210312Z,price_change,0.9300,SELL,-7500,0.91,0.9300
2026-01-08T02:14:15.264338Z,price_change,0.91,BUY,-2500,0.91,0.9300
2026-01-08T02:14:15.840179Z,price_change,0.9300,SELL,2,0.91,0.9300
2026-01-08T02:14:15.856557Z,price_change,0.9300,SELL,-1,0.91,0.9300
2026-01-08T02:14:15.886963Z,price_change,0.9300,SELL,-189,0.91,0.9300
2026-01-08T02:14:15.890065Z,price_change,0.88,BUY,-284,0.91,0.9300
2026-01-08T02:14:15.925747Z,price_change,0.9400,SELL,189,0.91,0.9300
2026-01-08T02:14:15.927227Z,price_change,0.89,BUY,284,0.91,0.9300
2026-01-08T02:14:17.201141Z,price_change,0.92,BUY,19321,0.92,0.9300
2026-01-08T02:14:17.235688Z,price_change,0.9300,SELL,-2461,0.92,0.9300
2026-01-08T02:14:17.246808Z,price_change,0.82,BUY,-750,0.92,0.9300
2026-01-08T02:14:17.246808Z,price_change,0.83,BUY,750,0.92,0.9300
2026-01-08T02:14:17.251735Z,price_change,0.92,BUY,-9661,0.92,0.9300
2026-01-08T02:14:17.257982Z,price_change,0.79,BUY,-970,0.92,0.9300
2026-01-08T02:14:17.257982Z,price_change,0.8,BUY,970,0.92,0.9300
2026-01-08T02:14:17.259573Z,price_change,0.9,BUY,-2477,0.92,0.9300
2026-01-08T02:14:17.2678Z,price_change,0.9300,SELL,-11,0.92,0.9300
2026-01-08T02:14:17.2678Z,price_change,0.9400,SELL,6,0.92,0.9300
2026-01-08T02:14:17.284091Z,price_change,0.9300,SELL,-2,0.92,0.9300
2026-01-08T02:14:17.298867Z,price_change,0.92,BUY,2461,0.92,0.9300
2026-01-08T02:14:17.386165Z,price_change,0.82,BUY,62,0.92,0.9300
2026-01-08T02:14:17.432584Z,price_change,0.9400,SELL,-2477,0.92,0.9300
2026-01-08T02:14:17.432879Z,price_change,0.9400,SELL,-189,0.92,0.9300
2026-01-08T02:14:17.433529Z,price_change,0.51,BUY,-762,0.92,0.9300
2026-01-08T02:14:17.433733Z,price_change,0.91,BUY,-1120,0.92,0.9300
2026-01-08T02:14:17.433863Z,price_change,0.92,BUY,-2461,0.92,0.9300
2026-01-08T02:14:17.433972Z,price_change,0.89,BUY,-284,0.92,0.9300
2026-01-08T02:14:17.434122Z,price_change,0.9300,SELL,-2477,0.92,0.9300
2026-01-08T02:14:17.434332Z,price_change,0.41,BUY,-4734,0.92,0.9300
2026-01-08T02:14:17.435825Z,price_change,0.91,BUY,-189,0.92,0.9300
2026-01-08T02:14:17.435961Z,price_change,0.9600,SELL,-284,0.92,0.9300
2026-01-08T02:14:17.436539Z,price_change,0.9500,SELL,-2461,0.92,0.9300
2026-01-08T02:14:17.43691Z,price_change,0.9400,SELL,-189,0.92,0.9300
2026-01-08T02:14:17.437921Z,price_change,0.9300,SELL,-2302,0.92,0.9400
2026-01-08T02:14:17.461648Z,price_change,0.9700,SELL,-392,0.92,0.9400
2026-01-08T02:14:17.47208Z,price_change,0.9400,SELL,-2461,0.92,0.9400
2026-01-08T02:14:17.472089Z,price_change,0.92,BUY,2500,0.92,0.9400
2026-01-08T02:14:17.516833Z,price_change,0.9400,SELL,1,0.92,0.9400
2026-01-08T02:14:17.52453Z,price_change,0.82,BUY,6099,0.92,0.9400
2026-01-08T02:14:17.531032Z,price_change,0.52,BUY,2461,0.92,0.9400
2026-01-08T02:14:17.533882Z,price_change,0.51,BUY,2461,0.92,0.9400
2026-01-08T02:14:17.94347Z,price_change,0.9400,SELL,-50,0.92,0.9400
2026-01-08T02:14:17.966652Z,price_change,0.9500,SELL,-50,0.92,0.9400
2026-01-08T02:14:17.997695Z,price_change,0.9500,SELL,-300,0.92,0.9400
2026-01-08T02:14:17.999215Z,price_change,0.9,BUY,-125,0.92,0.9400
2026-01-08T02:14:18.188423Z,price_change,0.9500,SELL,-200,0.92,0.9400
2026-01-08T02:14:18.191288Z,price_change,0.91,BUY,-200,0.92,0.9400
2026-01-08T02:14:18.471248Z,price_change,0.92,BUY,-200,0.92,0.9400
1767838458,last_trade_price,0.08,SELL,200,0.92,0.9400
2026-01-08T02:14:18.762649Z,price_change,0.9500,SELL,691,0.92,0.9400
2026-01-08T02:14:18.764646Z,price_change,0.76,BUY,691,0.92,0.9400
2026-01-08T02:14:18.810633Z,price_change,0.41,BUY,110,0.92,0.9400
2026-01-08T02:14:18.810797Z,price_change,0.52,BUY,-2461,0.92,0.9400
2026-01-08T02:14:18.811666Z,price_change,0.9900,SELL,958,0.92,0.9400
2026-01-08T02:14:18.812101Z,price_change,0.9900,SELL,958,0.92,0.9400
2026-01-08T02:14:18.812543Z,price_change,0.9800,SELL,958,0.92,0.9400
2026-01-08T02:14:18.812777Z,price_change,0.9800,SELL,958,0.92,0.9400
2026-01-08T02:14:18.812852Z,price_change,0.31,BUY,73,0.92,0.9400
2026-01-08T02:14:18.814009Z,price_change,0.9800,SELL,958,0.92,0.9400
2026-01-08T02:14:18.815446Z,price_change,0.51,BUY,-2461,0.92,0.9400
2026-01-08T02:14:18.857305Z,price_change,0.88,BUY,958,0.92,0.9400
2026-01-08T02:14:18.928552Z,price_change,0.9800,SELL,-958,0.92,0.9400
2026-01-08T02:14:18.929056Z,price_change,0.9800,SELL,-958,0.92,0.9400
2026-01-08T02:14:18.929096Z,price_change,0.9900,SELL,-958,0.92,0.9400
2026-01-08T02:14:18.929885Z,price_change,0.9900,SELL,-5718,0.92,0.9400
2026-01-08T02:14:18.930489Z,price_change,0.9900,SELL,-958,0.92,0.9400
2026-01-08T02:14:18.930518Z,price_change,0.87,BUY,958,0.92,0.9400
2026-01-08T02:14:18.931408Z,price_change,0.9800,SELL,-958,0.92,0.9400
2026-01-08T02:14:18.987571Z,price_change,0.88,BUY,-958,0.92,0.9400
2026-01-08T02:14:18.999399Z,price_change,0.9800,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.000486Z,price_change,0.9800,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.000612Z,price_change,0.9800,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.000666Z,price_change,0.9900,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.001169Z,price_change,0.9900,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.001572Z,price_change,0.31,BUY,-73,0.92,0.9400
2026-01-08T02:14:19.018718Z,price_change,0.41,BUY,-110,0.92,0.9400
2026-01-08T02:14:19.025854Z,price_change,0.9900,SELL,94,0.92,0.9400
2026-01-08T02:14:19.030741Z,price_change,0.87,BUY,-958,0.92,0.9400
2026-01-08T02:14:19.045907Z,price_change,0.51,BUY,141,0.92,0.9400
2026-01-08T02:14:19.047033Z,price_change,0.83,BUY,94,0.92,0.9400
2026-01-08T02:14:19.06995Z,price_change,0.92,BUY,1226,0.92,0.9400
2026-01-08T02:14:19.071287Z,price_change,0.91,BUY,1226,0.92,0.9400
2026-01-08T02:14:19.264395Z,price_change,0.9500,SELL,-5000,0.92,0.9400
2026-01-08T02:14:19.264395Z,price_change,0.9600,SELL,5000,0.92,0.9400
2026-01-08T02:14:19.285Z,price_change,0.9700,SELL,343,0.92,0.9400
2026-01-08T02:14:19.299542Z,price_change,0.9900,SELL,-1226,0.92,0.9400
2026-01-08T02:14:19.301549Z,price_change,0.9800,SELL,-1226,0.92,0.9400
2026-01-08T02:14:19.338444Z,price_change,0.9700,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.338913Z,price_change,0.9700,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.340666Z,price_change,0.9700,SELL,1226,0.92,0.9400
2026-01-08T02:14:19.513087Z,price_change,0.9,BUY,-5000,0.92,0.9400
2026-01-08T02:14:19.513087Z,price_change,0.91,BUY,5000,0.92,0.9400
2026-01-08T02:14:19.55782Z,price_change,0.92,BUY,-1226,0.92,0.9400
2026-01-08T02:14:19.592979Z,price_change,0.9,BUY,1226,0.92,0.9400
2026-01-08T02:14:19.648735Z,price_change,0.9400,SELL,516,0.92,0.9400
2026-01-08T02:14:19.650039Z,price_change,0.9,BUY,516,0.92,0.9400
2026-01-08T02:14:20.510791Z,price_change,0.9400,SELL,-516,0.92,0.9400
2026-01-08T02:14:20.899093Z,price_change,0.91,BUY,-10000,0.92,0.9400
2026-01-08T02:14:20.901457Z,price_change,0.91,BUY,-10000,0.92,0.9400
2026-01-08T02:14:21.000721Z,price_change,0.76,BUY,-691,0.92,0.9400
2026-01-08T02:14:21.000721Z,price_change,0.9500,SELL,-691,0.92,0.9400
2026-01-08T02:14:22.203204Z,price_change,0.92,BUY,-9460,0.92,0.9400
2026-01-08T02:14:22.526528Z,price_change,0.87,BUY,-2000,0.92,0.9400
2026-01-08T02:14:22.52801Z,price_change,0.9900,SELL,-2000,0.92,0.9400
2026-01-08T02:14:22.529397Z,price_change,0.89,BUY,-690,0.92,0.9400
2026-01-08T02:14:22.530937Z,price_change,0.9700,SELL,-690,0.92,0.9400
2026-01-08T02:14:23.434712Z,price_change,0.9400,SELL,-5,0.92,0.9400
1767838463,last_trade_price,0.94,BUY,5,0.92,0.9400
2026-01-08T02:14:23.783244Z,price_change,0.9400,SELL,1,0.92,0.9400
2026-01-08T02:14:23.798175Z,price_change,0.9400,SELL,-1,0.92,0.9400
2026-01-08T02:14:23.825567Z,price_change,0.88,BUY,94,0.92,0.9400
2026-01-08T02:14:24.80266Z,price_change,0.9600,SELL,150,0.92,0.9400
2026-01-08T02:14:24.805796Z,price_change,0.92,BUY,150,0.92,0.9400
2026-01-08T02:14:24.942328Z,price_change,0.89,BUY,2000,0.92,0.9400
2026-01-08T02:14:24.992085Z,price_change,0.88,BUY,-94,0.92,0.9400
2026-01-08T02:14:25.056605Z,price_change,0.89,BUY,94,0.92,0.9400
2026-01-08T02:14:25.229455Z,price_change,0.9900,SELL,-94,0.92,0.9400
2026-01-08T02:14:25.232814Z,price_change,0.9900,SELL,2831,0.92,0.9400
2026-01-08T02:14:25.263538Z,price_change,0.9800,SELL,94,0.92,0.9400
2026-01-08T02:14:25.69215Z,price_change,0.89,BUY,-2000,0.92,0.9400
2026-01-08T02:14:25.730495Z,price_change,0.89,BUY,-94,0.92,0.9400
2026-01-08T02:14:25.77018Z,price_change,0.88,BUY,94,0.92,0.9400
2026-01-08T02:14:25.865602Z,price_change,0.9600,SELL,50,0.92,0.9400
2026-01-08T02:14:25.892199Z,price_change,0.9500,SELL,50,0.92,0.9400
2026-01-08T02:14:25.897971Z,price_change,0.9700,SELL,200,0.92,0.9400
2026-01-08T02:14:25.898492Z,price_change,0.92,BUY,200,0.92,0.9400
2026-01-08T02:14:26.062586Z,price_change,0.9700,SELL,300,0.92,0.9400
2026-01-08T02:14:26.06359Z,price_change,0.91,BUY,125,0.92,0.9400
2026-01-08T02:14:26.150072Z,price_change,0.9400,SELL,6,0.92,0.9400
2026-01-08T02:14:26.159528Z,price_change,0.9400,SELL,-1,0.92,0.9400
2026-01-08T02:14:26.744206Z,price_change,0.88,BUY,2000,0.92,0.9400
2026-01-08T02:14:26.778831Z,price_change,0.88,BUY,-94,0.92,0.9400
2026-01-08T02:14:26.94031Z,price_change,0.89,BUY,94,0.92,0.9400
2026-01-08T02:14:27.637771Z,price_change,0.9500,SELL,482,0.92,0.9400
2026-01-08T02:14:27.639138Z,price_change,0.91,BUY,482,0.92,0.9400
2026-01-08T02:14:27.905795Z,price_change,0.9400,SELL,7500,0.92,0.9400
2026-01-08T02:14:27.91627Z,price_change,0.9,BUY,-516,0.92,0.9400
2026-01-08T02:14:27.957185Z,price_change,0.9,BUY,690,0.92,0.9400
2026-01-08T02:14:27.958196Z,price_change,0.9800,SELL,690,0.92,0.9400
2026-01-08T02:14:29.24513Z,price_change,0.82,BUY,-62,0.92,0.9400
2026-01-08T02:14:29.282395Z,price_change,0.9700,SELL,-1226,0.92,0.9400
2026-01-08T02:14:29.283145Z,price_change,0.9900,SELL,-1226,0.92,0.9400
2026-01-08T02:14:29.289118Z,price_change,0.9800,SELL,-1226,0.92,0.9400
2026-01-08T02:14:29.33478Z,price_change,0.9600,SELL,1226,0.92,0.9400
2026-01-08T02:14:29.393109Z,price_change,0.82,BUY,-6099,0.92,0.9400
2026-01-08T02:14:29.428061Z,price_change,0.83,BUY,-94,0.92,0.9400
2026-01-08T02:14:29.466248Z,price_change,0.31,BUY,94,0.92,0.9400
2026-01-08T02:14:29.6556Z,price_change,0.92,BUY,-20,0.92,0.9400
1767838469,last_trade_price,0.08,SELL,20,0.92,0.9400
2026-01-08T02:14:29.856464Z,price_change,0.88,BUY,-2000,0.92,0.9400
2026-01-08T02:14:29.857874Z,price_change,0.9,BUY,-690,0.92,0.9400
2026-01-08T02:14:29.859378Z,price_change,0.9800,SELL,-690,0.92,0.9400
2026-01-08T02:14:29.908135Z,price_change,0.89,BUY,-94,0.92,0.9400
2026-01-08T02:14:29.913681Z,price_change,0.9600,SELL,1226,0.92,0.9400
2026-01-08T02:14:29.96458Z,price_change,0.88,BUY,94,0.92,0.9400
2026-01-08T02:14:30.079795Z,price_change,0.9400,SELL,12,0.92,0.9400
2026-01-08T02:14:30.082761Z,price_change,0.9400,SELL,-6,0.92,0.9400
2026-01-08T02:14:30.440043Z,price_change,0.9,BUY,-1226,0.92,0.9400
2026-01-08T02:14:30.444681Z,price_change,0.91,BUY,-1226,0.92,0.9400
2026-01-08T02:14:30.465494Z,price_change,0.9600,SELL,1226,0.92,0.9400
2026-01-08T02:14:30.489266Z,price_change,0.88,BUY,1226,0.92,0.9400
2026-01-08T02:14:30.489963Z,price_change,0.89,BUY,1226,0.92,0.9400
2026-01-08T02:14:30.505605Z,price_change,0.9600,SELL,-5000,0.92,0.9400
2026-01-08T02:14:30.505605Z,price_change,0.9700,SELL,5000,0.92,0.9400
2026-01-08T02:14:30.633341Z,price_change,0.91,BUY,-5000,0.92,0.9400
2026-01-08T02:14:30.633341Z,price_change,0.92,BUY,5000,0.92,0.9400
2026-01-08T02:14:30.666556Z,price_change,0.91,BUY,-125,0.92,0.9400
2026-01-08T02:14:30.670757Z,price_change,0.9700,SELL,-300,0.92,0.9400
2026-01-08T02:14:30.686233Z,price_change,0.9500,SELL,-50,0.92,0.9400
2026-01-08T02:14:30.687083Z,price_change,0.9600,SELL,-50,0.92,0.9400
2026-01-08T02:14:30.691059Z,price_change,0.92,BUY,-200,0.92,0.9400
2026-01-08T02:14:30.692422Z,price_change,0.9700,SELL,-200,0.92,0.9400
2026-01-08T02:14:31.354677Z,price_change,0.9600,SELL,-1226,0.92,0.9400
2026-01-08T02:14:31.356209Z,price_change,0.9600,SELL,-1226,0.92,0.9400
2026-01-08T02:14:31.356354Z,price_change,0.88,BUY,-94,0.92,0.9400
2026-01-08T02:14:31.35639Z,price_change,0.9800,SELL,-1226,0.92,0.9400
2026-01-08T02:14:31.356398Z,price_change,0.31,BUY,-94,0.92,0.9400
2026-01-08T02:14:31.357323Z,price_change,0.51,BUY,756,0.92,0.9400
2026-01-08T02:14:31.357948Z,price_change,0.9700,SELL,-1226,0.92,0.9400
2026-01-08T02:14:31.358975Z,price_change,0.9800,SELL,-94,0.92,0.9400
