timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.1300,BUY,625,0.1300,0.31
,book,0.31,SELL,125,0.1300,0.31
,book,0.2100,BUY,50,0.2100,0.31
,book,0.31,SELL,125,0.2100,0.31
2026-01-03T23:18:11.001048Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:18:11.08616Z,price_change,0.17,BUY,-378,0.16,0.31
2026-01-03T23:18:11.088902Z,price_change,0.13,BUY,-297,0.16,0.31
2026-01-03T23:18:11.089941Z,price_change,0.03,BUY,386,0.16,0.31
2026-01-03T23:18:11.091044Z,price_change,0.04,BUY,275,0.16,0.31
2026-01-03T23:18:35.1702Z,price_change,0.21,BUY,50,0.21,0.31
2026-01-03T23:18:35.189402Z,price_change,0.04,BUY,-275,0.21,0.31
2026-01-03T23:18:35.192197Z,price_change,0.03,BUY,-386,0.21,0.31
2026-01-03T23:18:35.19328Z,price_change,0.17,BUY,388,0.21,0.31
2026-01-03T23:18:35.194452Z,price_change,0.13,BUY,325,0.21,0.31
2026-01-03T23:23:34.000431Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:23:34.028522Z,price_change,0.17,BUY,-388,0.16,0.31
2026-01-03T23:23:34.031219Z,price_change,0.13,BUY,-325,0.16,0.31
2026-01-03T23:23:34.03242Z,price_change,0.03,BUY,480,0.16,0.31
2026-01-03T23:23:34.033529Z,price_change,0.04,BUY,206,0.16,0.31
2026-01-03T23:24:00.002429Z,price_change,0.21,BUY,50,0.21,0.31
2026-01-03T23:24:00.022074Z,price_change,0.04,BUY,-206,0.21,0.31
2026-01-03T23:24:00.025096Z,price_change,0.03,BUY,-480,0.21,0.31
2026-01-03T23:24:00.026258Z,price_change,0.17,BUY,406,0.21,0.31
2026-01-03T23:24:00.027273Z,price_change,0.13,BUY,237,0.21,0.31
2026-01-03T23:28:59.000105Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:28:59.029105Z,price_change,0.17,BUY,-406,0.16,0.31
2026-01-03T23:28:59.030519Z,price_change,0.13,BUY,-237,0.16,0.31
2026-01-03T23:28:59.035693Z,price_change,0.03,BUY,456,0.16,0.31
2026-01-03T23:28:59.036979Z,price_change,0.04,BUY,231,0.16,0.31
2026-01-03T23:29:20.618296Z,price_change,0.21,BUY,50,0.21,0.31
2026-01-03T23:29:55.610144Z,price_change,0.04,BUY,-231,0.21,0.31
2026-01-03T23:29:55.611304Z,price_change,0.03,BUY,-456,0.21,0.31
2026-01-03T23:29:55.612463Z,price_change,0.17,BUY,448,0.21,0.31
2026-01-03T23:29:55.613744Z,price_change,0.13,BUY,244,0.21,0.31
2026-01-03T23:34:20.000466Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:34:20.025015Z,price_change,0.17,BUY,-448,0.16,0.31
2026-01-03T23:34:20.02777Z,price_change,0.13,BUY,-244,0.16,0.31
2026-01-03T23:34:20.028913Z,price_change,0.03,BUY,384,0.16,0.31
2026-01-03T23:34:20.03Z,price_change,0.04,BUY,261,0.16,0.31
2026-01-03T23:34:43.700951Z,price_change,0.21,BUY,50,0.21,0.31
2026-01-03T23:34:43.718451Z,price_change,0.04,BUY,-261,0.21,0.31
2026-01-03T23:34:43.719779Z,price_change,0.03,BUY,-384,0.21,0.31
2026-01-03T23:34:43.721015Z,price_change,0.17,BUY,427,0.21,0.31
2026-01-03T23:34:43.722197Z,price_change,0.13,BUY,245,0.21,0.31
2026-01-03T23:39:43.000071Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:39:43.018697Z,price_change,0.17,BUY,-427,0.16,0.31
2026-01-03T23:39:43.021708Z,price_change,0.13,BUY,-245,0.16,0.31
2026-01-03T23:39:43.022779Z,price_change,0.03,BUY,346,0.16,0.31
2026-01-03T23:39:43.023838Z,price_change,0.04,BUY,363,0.16,0.31
2026-01-03T23:40:04.028796Z,price_change,0.21,BUY,50,0.21,0.31
2026-01-03T23:40:06.447201Z,price_change,0.03,BUY,-346,0.21,0.31
2026-01-03T23:40:06.448423Z,price_change,0.04,BUY,-363,0.21,0.31
2026-01-03T23:40:06.449464Z,price_change,0.17,BUY,368,0.21,0.31
2026-01-03T23:40:06.450525Z,price_change,0.13,BUY,350,0.21,0.31
2026-01-03T23:42:29.761031Z,price_change,0.83,SELL,-1065,0.21,0.31
2026-01-03T23:42:29.817424Z,price_change,0.02,BUY,-618,0.21,0.31
2026-01-03T23:42:29.994412Z,price_change,0.04,BUY,769,0.21,0.31
2026-01-03T23:42:30.051264Z,price_change,0.79,SELL,857,0.21,0.31
2026-01-03T23:43:21.416094Z,price_change,0.21,BUY,-50,0.17,0.31
2026-01-03T23:43:21.433795Z,price_change,0.8200000000000001,SELL,-269,0.17,0.31
2026-01-03T23:43:21.435178Z,price_change,0.8,SELL,-429,0.17,0.31
2026-01-03T23:43:21.436343Z,price_change,0.17,BUY,-368,0.16,0.31
2026-01-03T23:43:21.437469Z,price_change,0.13,BUY,-350,0.16,0.31
2026-01-03T23:43:21.438601Z,price_change,0.78,SELL,419,0.16,0.31
2026-01-03T23:43:21.439768Z,price_change,0.03,BUY,351,0.16,0.31
2026-01-03T23:43:21.440914Z,price_change,0.04,BUY,361,0.16,0.31
2026-01-03T23:43:32.130391Z,price_change,0.2,BUY,50,0.2,0.31
2026-01-03T23:43:32.150354Z,price_change,0.8,SELL,259,0.2,0.31
2026-01-03T23:43:55.87344Z,price_change,0.03,BUY,-351,0.2,0.31
2026-01-03T23:43:55.874441Z,price_change,0.04,BUY,-361,0.2,0.31
2026-01-03T23:43:55.875679Z,price_change,0.13,BUY,459,0.2,0.31
2026-01-03T23:43:55.876869Z,price_change,0.14,BUY,231,0.2,0.31
2026-01-03T23:48:30.000759Z,price_change,0.2,BUY,-50,0.16,0.31
2026-01-03T23:48:30.129331Z,price_change,0.14,BUY,-231,0.16,0.31
2026-01-03T23:48:30.131664Z,price_change,0.13,BUY,-459,0.16,0.31
2026-01-03T23:48:30.132883Z,price_change,0.03,BUY,428,0.16,0.31
2026-01-03T23:48:30.134467Z,price_change,0.04,BUY,235,0.16,0.31
2026-01-03T23:48:46.098592Z,price_change,0.2,BUY,50,0.2,0.31
2026-01-03T23:49:55.999962Z,price_change,0.04,BUY,-235,0.2,0.31
2026-01-03T23:49:56.002642Z,price_change,0.03,BUY,-428,0.2,0.31
2026-01-03T23:49:56.003743Z,price_change,0.13,BUY,352,0.2,0.31
2026-01-03T23:49:56.004986Z,price_change,0.14,BUY,308,0.2,0.31
2026-01-03T23:53:44.000351Z,price_change,0.2,BUY,-50,0.16,0.31
2026-01-03T23:53:44.038007Z,price_change,0.14,BUY,-308,0.16,0.31
2026-01-03T23:53:44.040842Z,price_change,0.13,BUY,-352,0.16,0.31
2026-01-03T23:53:44.041959Z,price_change,0.03,BUY,366,0.16,0.31
2026-01-03T23:53:44.043356Z,price_change,0.04,BUY,287,0.16,0.31
2026-01-03T23:54:04.324055Z,price_change,0.2,BUY,50,0.2,0.31
2026-01-03T23:55:56.182176Z,price_change,0.04,BUY,-287,0.2,0.31
2026-01-03T23:55:56.183637Z,price_change,0.03,BUY,-366,0.2,0.31
2026-01-03T23:55:56.184959Z,price_change,0.13,BUY,401,0.2,0.31
2026-01-03T23:55:56.186122Z,price_change,0.14,BUY,260,0.2,0.31
2026-01-03T23:59:02.000081Z,price_change,0.2,BUY,-50,0.16,0.31
2026-01-03T23:59:02.087325Z,price_change,0.14,BUY,-260,0.16,0.31
2026-01-03T23:59:02.088965Z,price_change,0.13,BUY,-401,0.16,0.31
2026-01-03T23:59:02.090159Z,price_change,0.03,BUY,440,0.16,0.31
2026-01-03T23:59:02.091402Z,price_change,0.04,BUY,152,0.16,0.31
2026-01-03T23:59:02.092692Z,price_change,0.05,BUY,114,0.16,0.31
2026-01-03T23:59:22.738574Z,price_change,0.2,BUY,50,0.2,0.31
2026-01-03T23:59:56.379526Z,price_change,0.05,BUY,-114,0.2,0.31
2026-01-03T23:59:56.38208Z,price_change,0.04,BUY,-152,0.2,0.31
2026-01-03T23:59:56.383256Z,price_change,0.03,BUY,-440,0.2,0.31
2026-01-03T23:59:56.384485Z,price_change,0.13,BUY,373,0.2,0.31
2026-01-03T23:59:56.385934Z,price_change,0.14,BUY,248,0.2,0.31
,book,0.2000,BUY,50,0.2000,0.31
,book,0.31,SELL,125,0.2000,0.31
,book,0.2000,BUY,50,0.2000,0.31
