timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.3000,BUY,761,0.3000,0.31
,book,0.31,SELL,456638,0.3000,0.31
,book,0.3000,BUY,761,0.3000,0.31
,book,0.31,SELL,456638,0.3000,0.31
2026-01-08T02:14:15.225765Z,price_change,0.3100,SELL,-12,0.3,0.3100
1767838455,last_trade_price,0.31,BUY,12,0.3,0.3100
2026-01-08T02:14:39.312712Z,price_change,0.3100,SELL,-30,0.3,0.3100
1767838479,last_trade_price,0.31,BUY,30,0.3,0.3100
2026-01-08T02:14:46.596806Z,price_change,0.3100,SELL,-12,0.3,0.3100
1767838486,last_trade_price,0.31,BUY,12,0.3,0.3100
2026-01-08T02:15:00.504211Z,price_change,0.4000,SELL,100,0.3,0.3100
2026-01-08T02:15:01.457429Z,price_change,0.3100,SELL,-30,0.3,0.3100
1767838501,last_trade_price,0.31,BUY,30,0.3,0.3100
2026-01-08T02:15:13.134884Z,price_change,0.3100,SELL,-344,0.3,0.3100
1767838513,last_trade_price,0.31,BUY,344,0.3,0.3100
2026-01-08T02:15:20.902882Z,price_change,0.3100,SELL,-200,0.3,0.3100
1767838520,last_trade_price,0.31,BUY,200,0.3,0.3100
2026-01-08T02:16:05.00102Z,price_change,0.27,BUY,-600,0.3,0.3100
2026-01-08T02:16:07.581244Z,price_change,0.27,BUY,600,0.3,0.3100
2026-01-08T02:16:08.000267Z,price_change,0.28,BUY,-500,0.3,0.3100
2026-01-08T02:16:14.11512Z,price_change,0.28,BUY,500,0.3,0.3100
2026-01-08T02:16:16.216254Z,price_change,0.3200,SELL,2011,0.3,0.3100
2026-01-08T02:16:16.567016Z,price_change,0.3300,SELL,-1940,0.3,0.3100
2026-01-08T02:16:37.815963Z,price_change,0.3100,SELL,-15,0.3,0.3100
1767838597,last_trade_price,0.31,BUY,15,0.3,0.3100
2026-01-08T02:16:38.89854Z,price_change,0.29,BUY,-3378,0.3,0.3100
2026-01-08T02:16:45.65989Z,price_change,0.3100,SELL,-5,0.3,0.3100
1767838605,last_trade_price,0.31,BUY,5,0.3,0.3100
2026-01-08T02:16:59.728584Z,price_change,0.3100,SELL,-4848,0.3,0.3100
1767838619,last_trade_price,0.31,BUY,4848,0.3,0.3100
2026-01-08T02:17:13.609237Z,price_change,0.3100,SELL,-55,0.3,0.3100
1767838633,last_trade_price,0.31,BUY,55,0.3,0.3100
2026-01-08T02:17:19.480568Z,price_change,0.3100,SELL,-50,0.3,0.3100
1767838639,last_trade_price,0.31,BUY,50,0.3,0.3100
2026-01-08T02:17:21.441586Z,price_change,0.3100,SELL,-530,0.3,0.3100
1767838641,last_trade_price,0.31,BUY,530,0.3,0.3100
2026-01-08T02:17:24.098848Z,price_change,0.3300,SELL,-292,0.3,0.3100
2026-01-08T02:17:25.045739Z,price_change,0.3300,SELL,292,0.3,0.3100
2026-01-08T02:17:28.616954Z,price_change,0.18,BUY,5000,0.3,0.3100
2026-01-08T02:17:28.856789Z,price_change,0.3100,SELL,-10,0.3,0.3100
1767838648,last_trade_price,0.31,BUY,10,0.3,0.3100
2026-01-08T02:17:34.283903Z,price_change,0.3100,SELL,-46,0.3,0.3100
1767838654,last_trade_price,0.31,BUY,46,0.3,0.3100
2026-01-08T02:17:40.107686Z,price_change,0.3100,SELL,-10,0.3,0.3100
1767838660,last_trade_price,0.31,BUY,10,0.3,0.3100
2026-01-08T02:17:44.588594Z,price_change,0.3100,SELL,-20,0.3,0.3100
1767838664,last_trade_price,0.31,BUY,20,0.3,0.3100
2026-01-08T02:17:54.394761Z,price_change,0.3300,SELL,405,0.3,0.3100
2026-01-08T02:17:56.18279Z,price_change,0.3100,SELL,-151,0.3,0.3100
1767838676,last_trade_price,0.31,BUY,151,0.3,0.3100
2026-01-08T02:17:57.934368Z,price_change,0.3100,SELL,-73,0.3,0.3100
1767838677,last_trade_price,0.31,BUY,73,0.3,0.3100
2026-01-08T02:18:03.152841Z,price_change,0.3100,SELL,-14,0.3,0.3100
