timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.7200,BUY,463358,0.7200,0.73
,book,0.73,SELL,113051,0.7200,0.73
,book,0.7200,BUY,13463,0.7200,0.73
,book,0.73,SELL,12854,0.7200,0.73
2026-01-08T02:14:13.017495Z,price_change,0.71,BUY,17028,0.72,0.7300
2026-01-08T02:14:14.614198Z,price_change,0.7400,SELL,-1117,0.72,0.7300
2026-01-08T02:14:16.52188Z,price_change,0.7300,SELL,-8,0.72,0.7300
1767838456,last_trade_price,0.73,BUY,8,0.72,0.7300
2026-01-08T02:14:18.019908Z,price_change,0.7300,SELL,-21,0.72,0.7300
1767838458,last_trade_price,0.73,BUY,21,0.72,0.7300
2026-01-08T02:14:19.498191Z,price_change,0.7300,SELL,-4,0.72,0.7300
1767838459,last_trade_price,0.73,BUY,4,0.72,0.7300
2026-01-08T02:14:20.128347Z,price_change,0.7400,SELL,-189,0.72,0.7300
2026-01-08T02:14:20.801352Z,price_change,0.7300,SELL,-500,0.72,0.7300
2026-01-08T02:14:21.036112Z,price_change,0.7500,SELL,100,0.72,0.7300
2026-01-08T02:14:21.206847Z,price_change,0.7,BUY,100,0.72,0.7300
2026-01-08T02:14:50.250468Z,price_change,0.7400,SELL,-15801,0.72,0.7300
2026-01-08T02:14:50.618442Z,price_change,0.7400,SELL,15965,0.72,0.7300
2026-01-08T02:14:51.1311Z,price_change,0.71,BUY,-8908,0.72,0.7300
2026-01-08T02:14:51.132135Z,price_change,0.7400,SELL,-300000,0.72,0.7300
2026-01-08T02:14:51.303817Z,price_change,0.72,BUY,8908,0.72,0.7300
2026-01-08T02:14:51.306196Z,price_change,0.7400,SELL,300000,0.72,0.7300
2026-01-08T02:14:51.640685Z,price_change,0.7500,SELL,-940,0.72,0.7300
2026-01-08T02:14:51.979415Z,price_change,0.7,BUY,-28,0.72,0.7300
2026-01-08T02:14:51.980236Z,price_change,0.7400,SELL,-716,0.72,0.7300
2026-01-08T02:14:51.998477Z,price_change,0.7500,SELL,597,0.72,0.7300
2026-01-08T02:14:51.999977Z,price_change,0.7600,SELL,635,0.72,0.7300
2026-01-08T02:14:52.174072Z,price_change,0.72,BUY,-8908,0.72,0.7300
2026-01-08T02:14:52.175694Z,price_change,0.7400,SELL,-300000,0.72,0.7300
2026-01-08T02:14:52.374857Z,price_change,0.72,BUY,8908,0.72,0.7300
2026-01-08T02:14:52.377025Z,price_change,0.7400,SELL,300000,0.72,0.7300
2026-01-08T02:14:57.689149Z,price_change,0.7400,SELL,390,0.72,0.7300
2026-01-08T02:14:58.704882Z,price_change,0.71,BUY,-17028,0.72,0.7300
2026-01-08T02:14:58.70615Z,price_change,0.71,BUY,-15232,0.72,0.7300
2026-01-08T02:14:59.116661Z,price_change,0.71,BUY,32760,0.72,0.7300
2026-01-08T02:15:00.927027Z,price_change,0.7300,SELL,-2,0.72,0.7300
1767838500,last_trade_price,0.73,BUY,2,0.72,0.7300
