timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.6700,BUY,62,0.6700,0.68
,book,0.68,SELL,22293,0.6700,0.68
2026-01-08T02:13:20.347975Z,price_change,0.66,BUY,-615,0.67,0.6800
2026-01-08T02:13:20.349198Z,price_change,0.6900,SELL,-884,0.67,0.6800
2026-01-08T02:13:20.362821Z,price_change,0.65,BUY,615,0.67,0.6800
2026-01-08T02:13:20.363984Z,price_change,0.6800,SELL,884,0.67,0.6800
2026-01-08T02:13:20.406257Z,price_change,0.7300,SELL,-50,0.67,0.6800
2026-01-08T02:13:20.408281Z,price_change,0.7200,SELL,-50,0.67,0.6800
2026-01-08T02:13:20.443012Z,price_change,0.6800,SELL,-107,0.67,0.6800
2026-01-08T02:13:20.494258Z,price_change,0.67,BUY,-62,0.65,0.6800
2026-01-08T02:13:20.495305Z,price_change,0.7400,SELL,-150,0.65,0.6800
2026-01-08T02:13:20.560312Z,price_change,0.6900,SELL,-1,0.65,0.6800
2026-01-08T02:13:20.560312Z,price_change,0.6800,SELL,1,0.65,0.6800
2026-01-08T02:13:20.566836Z,price_change,0.62,BUY,-2000,0.65,0.6800
2026-01-08T02:13:20.575065Z,price_change,0.7400,SELL,-100,0.65,0.6800
2026-01-08T02:13:20.58383Z,price_change,0.6700,SELL,7500,0.65,0.6700
2026-01-08T02:13:20.594077Z,price_change,0.6800,SELL,-1,0.65,0.6700
2026-01-08T02:13:20.597171Z,price_change,0.65,BUY,-615,0.65,0.6700
2026-01-08T02:13:20.599913Z,price_change,0.6800,SELL,-884,0.65,0.6700
2026-01-08T02:13:20.607205Z,price_change,0.16,BUY,-268,0.65,0.6700
2026-01-08T02:13:20.608214Z,price_change,0.62,BUY,-250,0.65,0.6700
2026-01-08T02:13:20.608952Z,price_change,0.64,BUY,615,0.65,0.6700
2026-01-08T02:13:20.610026Z,price_change,0.14,BUY,-396,0.65,0.6700
2026-01-08T02:13:20.611193Z,price_change,0.18,BUY,430,0.65,0.6700
2026-01-08T02:13:20.611523Z,price_change,0.6700,SELL,884,0.65,0.6700
2026-01-08T02:13:20.612509Z,price_change,0.3,BUY,301,0.65,0.6700
2026-01-08T02:13:20.624223Z,price_change,0.7000,SELL,-2174,0.65,0.6700
2026-01-08T02:13:20.624312Z,price_change,0.6900,SELL,-2174,0.65,0.6700
2026-01-08T02:13:20.624353Z,price_change,0.6800,SELL,-2174,0.65,0.6700
2026-01-08T02:13:20.649205Z,price_change,0.17,BUY,-4181,0.65,0.6700
2026-01-08T02:13:20.651709Z,price_change,0.55,BUY,250,0.65,0.6700
2026-01-08T02:13:20.660154Z,price_change,0.6700,SELL,2172,0.65,0.6700
2026-01-08T02:13:20.663691Z,price_change,0.3,BUY,-669,0.65,0.6700
2026-01-08T02:13:20.664399Z,price_change,0.6700,SELL,2172,0.65,0.6700
2026-01-08T02:13:20.665012Z,price_change,0.6700,SELL,2172,0.65,0.6700
2026-01-08T02:13:20.676686Z,price_change,0.6800,SELL,-11,0.65,0.6700
2026-01-08T02:13:20.676686Z,price_change,0.6700,SELL,11,0.65,0.6700
2026-01-08T02:13:20.68392Z,price_change,0.19,BUY,4178,0.65,0.6700
2026-01-08T02:13:20.711896Z,price_change,0.31,BUY,668,0.65,0.6700
2026-01-08T02:13:20.720199Z,price_change,0.6700,SELL,-11,0.65,0.6700
2026-01-08T02:13:20.746064Z,price_change,0.6700,SELL,-7500,0.65,0.6700
2026-01-08T02:13:20.944936Z,price_change,0.6700,SELL,-14,0.65,0.6700
1767838400,last_trade_price,0.67,BUY,14,0.65,0.6700
2026-01-08T02:13:20.956063Z,price_change,0.6700,SELL,10,0.65,0.6700
2026-01-08T02:13:20.969912Z,price_change,0.6600,SELL,7500,0.65,0.6600
2026-01-08T02:13:20.986757Z,price_change,0.6700,SELL,50,0.65,0.6600
2026-01-08T02:13:21.168255Z,price_change,0.54,BUY,-2344,0.65,0.6600
2026-01-08T02:13:21.194756Z,price_change,0.6600,SELL,-28,0.65,0.6600
1767838401,last_trade_price,0.66,BUY,28,0.65,0.6600
2026-01-08T02:13:21.203175Z,price_change,0.55,BUY,-250,0.65,0.6600
2026-01-08T02:13:21.237486Z,price_change,0.6600,SELL,-474,0.65,0.6600
1767838401,last_trade_price,0.66,BUY,474,0.65,0.6600
2026-01-08T02:13:21.23976Z,price_change,0.31,BUY,250,0.65,0.6600
2026-01-08T02:13:21.241756Z,price_change,0.59,BUY,2608,0.65,0.6600
2026-01-08T02:13:21.272787Z,price_change,0.31,BUY,-250,0.65,0.6600
