timestamp,event_type,price,side,size,best_bid,best_ask
2025-12-08T03:13:33.255000+00:00,book,0.66,BUY,55.59,0.66,0.69
2025-12-08T03:13:33.255000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:14:37.381000+00:00,price_change,0.85,SELL,0,0.66,0.69
2025-12-08T03:14:37.381000+00:00,price_change,0.82,SELL,0,0.66,0.69
2025-12-08T03:14:42.490000+00:00,price_change,0.81,SELL,0,0.66,0.69
2025-12-08T03:14:43.189000+00:00,price_change,0.86,SELL,144.4,0.66,0.69
2025-12-08T03:27:19.916000+00:00,book,0.66,BUY,55.59,0.66,0.69
2025-12-08T03:27:19.916000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:28:23.648000+00:00,price_change,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:28:23.648000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:28:23.648000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:28:59.472000+00:00,price_change,0.86,SELL,0,0.66,0.69
2025-12-08T03:28:59.472000+00:00,price_change,0.15,BUY,0,0.66,0.69
2025-12-08T03:28:59.805000+00:00,price_change,0.85,SELL,184.4,0.66,0.69
2025-12-08T03:28:59.827000+00:00,price_change,0.14,BUY,1182,0.66,0.69
2025-12-08T03:29:04.865000+00:00,price_change,0.85,SELL,40,0.66,0.69
2025-12-08T03:29:05.486000+00:00,price_change,0.84,SELL,167.92,0.66,0.69
2025-12-08T03:29:26.627000+00:00,price_change,0.16,BUY,6.97,0.66,0.69
2025-12-08T03:31:52.660000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:31:52.660000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:33:25.824000+00:00,price_change,0.16,BUY,6.97,0.66,0.69
2025-12-08T03:33:25.824000+00:00,price_change,0.84,SELL,0,0.66,0.69
2025-12-08T03:33:26.189000+00:00,price_change,0.15,BUY,40,0.66,0.69
2025-12-08T03:33:27.168000+00:00,price_change,0.83,SELL,0,0.66,0.69
2025-12-08T03:33:27.861000+00:00,price_change,0.86,SELL,167.92,0.66,0.69
2025-12-08T03:33:55.933000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:33:55.933000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:34:59.602000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:34:59.602000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:35:42.605000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:35:42.605000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:35:54.377000+00:00,price_change,0.18,BUY,1666,0.66,0.69
2025-12-08T03:35:55.833000+00:00,price_change,0.19,BUY,5.43,0.66,0.69
2025-12-08T03:36:11.436000+00:00,price_change,0.62,BUY,0,0.66,0.69
2025-12-08T03:36:11.437000+00:00,price_change,0.64,BUY,300,0.66,0.69
2025-12-08T03:36:11.472000+00:00,price_change,0.62,BUY,41.61,0.66,0.69
2025-12-08T03:36:11.491000+00:00,price_change,0.63,BUY,1666.64,0.66,0.69
2025-12-08T03:36:11.611000+00:00,price_change,0.53,BUY,20,0.66,0.69
2025-12-08T03:36:21.527000+00:00,price_change,0.63,BUY,1646.64,0.66,0.69
2025-12-08T03:36:31.176000+00:00,price_change,0.54,BUY,20,0.66,0.69
2025-12-08T03:37:55.218000+00:00,price_change,0.86,SELL,0,0.66,0.69
2025-12-08T03:37:55.219000+00:00,price_change,0.17,BUY,0,0.66,0.69
2025-12-08T03:37:55.548000+00:00,price_change,0.85,SELL,207.92,0.66,0.69
2025-12-08T03:37:55.574000+00:00,price_change,0.13,BUY,5040,0.66,0.69
2025-12-08T03:38:21.478000+00:00,price_change,0.85,SELL,40,0.66,0.69
2025-12-08T03:38:22.469000+00:00,price_change,0.84,SELL,167.92,0.66,0.69
2025-12-08T03:38:33.233000+00:00,price_change,0.18,BUY,0,0.66,0.69
2025-12-08T03:39:10.558000+00:00,price_change,0.19,BUY,1583.43,0.66,0.69
2025-12-08T03:39:56.451000+00:00,price_change,0.19,BUY,1578,0.66,0.69
2025-12-08T03:39:56.803000+00:00,price_change,0.15,BUY,7.43,0.66,0.69
2025-12-08T03:46:55.428000+00:00,book,0.66,BUY,32.06,0.66,0.69
2025-12-08T03:46:55.428000+00:00,book,0.69,SELL,226.23,0.66,0.69
2025-12-08T03:48:22.719000+00:00,price_change,0.2,BUY,0,0.66,0.69
2025-12-08T03:49:06.796000+00:00,price_change,0.86,SELL,0,0.66,0.69
2025-12-08T03:49:07.294000+00:00,price_change,0.87,SELL,480.53,0.66,0.69
2025-12-08T03:49:08.758000+00:00,price_change,0.16,BUY,0,0.66,0.69
2025-12-08T03:49:09.103000+00:00,price_change,0.15,BUY,7.43,0.66,0.69
2025-12-08T03:49:10.193000+00:00,price_change,0.17,BUY,6.56,0.66,0.69
2025-12-08T03:50:02.417000+00:00,price_change,0.1,BUY,2400,0.66,0.69
2025-12-08T03:50:02.479000+00:00,price_change,0.1,BUY,0,0.66,0.69
2025-12-08T03:50:02.793000+00:00,price_change,0.14,BUY,0,0.66,0.69
2025-12-08T03:51:23.438000+00:00,price_change,0.13,BUY,5000,0.66,0.69
2025-12-08T03:51:23.781000+00:00,price_change,0.14,BUY,40,0.66,0.69
2025-12-08T03:51:26.540000+00:00,price_change,0.73,SELL,0,0.66,0.69
