timestamp,event_type,price,side,size,best_bid,best_ask
1764454168947,book,0.79,BUY,95,0.79,0.82
1764454168947,book,0.82,SELL,673.62,0.79,0.82
1764454434983,book,0.79,BUY,95,0.79,0.82
1764454434983,book,0.82,SELL,673.62,0.79,0.82
1764454645937,price_change,0.92,SELL,0,0.79,0.82
1764454645937,price_change,0.86,SELL,335,0.79,0.82
1764454645937,price_change,0.83,SELL,312.79,0.79,0.82
1764454645937,price_change,0.89,SELL,0,0.79,0.82
1764454707037,price_change,0.71,BUY,0,0.79,0.82
1764454707051,price_change,0.68,BUY,0,0.79,0.82
1764454707174,price_change,0.7,BUY,25,0.79,0.82
1764454707300,price_change,0.51,BUY,30,0.79,0.82
1764454745695,price_change,0.26,BUY,1230,0.79,0.82
1764454776060,price_change,0.76,BUY,1363.31,0.79,0.82
1764454776410,price_change,0.76,BUY,1383.31,0.79,0.82
1764454802195,price_change,0.06,BUY,0,0.79,0.82
1764454802432,price_change,0.16,BUY,0,0.79,0.82
1764454802970,price_change,0.18,BUY,0,0.79,0.82
1764454805577,price_change,0.83,SELL,441.79,0.79,0.82
1764454807478,price_change,0.86,SELL,492,0.79,0.82
1764454807480,price_change,0.89,SELL,199,0.79,0.82
1764454807481,price_change,0.92,SELL,274,0.79,0.82
1764455077809,price_change,0.18,BUY,888,0.79,0.82
1764455171000,price_change,0.69,BUY,63.78,0.79,0.82
1764455196184,price_change,0.7,BUY,5,0.79,0.82
1764455196301,price_change,0.71,BUY,20,0.79,0.82
1764455196450,price_change,0.36,BUY,0,0.79,0.82
1764455196497,price_change,0.36,BUY,5,0.79,0.82
1764455217965,price_change,0.98,SELL,0,0.79,0.82
1764455218143,price_change,0.98,SELL,3041,0.79,0.82
1764455218478,price_change,0.35,BUY,0,0.79,0.82
1764455218658,price_change,0.35,BUY,3188,0.79,0.82
1764455244056,price_change,0.16,BUY,1000,0.79,0.82
1764455312167,price_change,0.74,BUY,104.7,0.79,0.82
1764455482839,price_change,0.06,BUY,3998,0.79,0.82
1764480043675,book,0.79,BUY,95,0.79,0.82
1764480043675,book,0.82,SELL,673.62,0.79,0.82
1764480224002,price_change,0.75,BUY,129.48,0.79,0.82
1764480226470,price_change,0.75,BUY,149.48,0.79,0.82
1764480295891,price_change,0.18,BUY,888,0.79,0.82
1764480321813,price_change,0.07,BUY,0,0.79,0.82
1764480322527,price_change,0.06,BUY,9.31,0.79,0.82
1764480482002,price_change,0.74,BUY,116.61,0.79,0.82
1764480482003,price_change,0.73,BUY,246.6,0.79,0.82
1764480482065,price_change,0.74,BUY,205.94,0.79,0.82
1764480482112,price_change,0.73,BUY,260.44,0.79,0.82
1764480540955,price_change,0.06,BUY,4007.31,0.79,0.82
1764480714764,price_change,0.98,SELL,0,0.79,0.82
1764480714935,price_change,0.98,SELL,3043,0.79,0.82
1764480715225,price_change,0.37,BUY,0,0.79,0.82
1764480715391,price_change,0.37,BUY,3025,0.79,0.82
1764480723443,price_change,0.16,BUY,1000,0.79,0.82
1764481054200,price_change,0.86,SELL,335,0.79,0.82
1764481054200,price_change,0.89,SELL,0,0.79,0.82
1764481054200,price_change,0.92,SELL,0,0.79,0.82
1764481054200,price_change,0.83,SELL,312.79,0.79,0.82
1764481066817,price_change,0.76,BUY,1365.91,0.79,0.82
1764481066817,price_change,0.85,SELL,332.2,0.79,0.82
1764481198233,price_change,0.92,SELL,274,0.79,0.82
1764481198234,price_change,0.86,SELL,492,0.79,0.82
1764481198236,price_change,0.83,SELL,441.79,0.79,0.82
1764481198237,price_change,0.89,SELL,199,0.79,0.82
1764481373506,price_change,0.38,BUY,0,0.79,0.82
1764481373563,price_change,0.38,BUY,5,0.79,0.82
1764481802220,price_change,0.18,BUY,0,0.79,0.82
1764481802305,price_change,0.16,BUY,0,0.79,0.82
1764481802376,price_change,0.06,BUY,9.31,0.79,0.82
1764481808183,price_change,0.85,SELL,342.2,0.79,0.82
1764481808236,price_change,0.76,BUY,1375.91,0.79,0.82
1764481809000,price_change,0.75,BUY,129.48,0.79,0.82
1764481815486,price_change,0.75,BUY,149.48,0.79,0.82
1764481847743,price_change,0.75,BUY,5149.48,0.79,0.82
1764481847842,price_change,0.72,BUY,0,0.79,0.82
1764481876436,price_change,0.81,BUY,82,0.81,0.82
1764481876466,price_change,0.75,BUY,5060,0.81,0.82
1764481876466,price_change,0.76,BUY,1355.39,0.81,0.82
1764481877727,price_change,0.79,BUY,0,0.81,0.82
1764481882263,price_change,0.78,BUY,100,0.81,0.82
1764481893771,price_change,0.76,BUY,1345.39,0.81,0.82
1764481893865,price_change,0.77,BUY,210,0.81,0.82
1764481901728,price_change,0.81,BUY,0,0.78,0.82
1764481901728,book,0.78,BUY,100,0.78,0.82
1764481901728,book,0.82,SELL,673.62,0.78,0.82
1764481901758,price_change,0.76,BUY,1365.91,0.78,0.82
1764481901759,last_trade_price,0.81,SELL,82,,
1764481901788,price_change,0.75,BUY,5149.48,0.78,0.82
1764481901820,price_change,0.74,BUY,429.27,0.78,0.82
1764481902091,price_change,0.75,BUY,5129.48,0.78,0.82
1764481902216,price_change,0.74,BUY,449.27,0.78,0.82
1764481902514,price_change,0.79,BUY,95,0.79,0.82
1764481902541,price_change,0.74,BUY,225.94,0.79,0.82
1764481904595,price_change,0.78,BUY,0,0.79,0.82
1764481918673,price_change,0.77,BUY,200,0.79,0.82
1764481918728,price_change,0.76,BUY,1375.91,0.79,0.82
1764482081774,price_change,0.18,BUY,888,0.79,0.82
1764482172734,price_change,0.75,BUY,5305.57,0.79,0.82
1764482176386,price_change,0.71,BUY,0,0.79,0.82
1764482176437,price_change,0.71,BUY,20,0.79,0.82
1764482244660,price_change,0.89,SELL,0,0.79,0.82
1764482244660,price_change,0.83,SELL,312.79,0.79,0.82
1764482244660,price_change,0.86,SELL,335,0.79,0.82
1764482244660,price_change,0.92,SELL,0,0.79,0.82
1764482273116,price_change,0.75,BUY,5129.48,0.79,0.82
1764482273179,price_change,0.75,BUY,5219.48,0.79,0.82
1764482275581,price_change,0.75,BUY,5129.48,0.79,0.82
1764482275601,price_change,0.75,BUY,5109.48,0.79,0.82
1764482275694,price_change,0.74,BUY,245.94,0.79,0.82
1764482285753,price_change,0.16,BUY,1000,0.79,0.82
1764482306601,price_change,0.74,BUY,156.61,0.79,0.82
1764482313385,price_change,0.73,BUY,335.92,0.79,0.82
1764482390991,price_change,0.86,SELL,492,0.79,0.82
1764482390992,price_change,0.89,SELL,199,0.79,0.82
1764482390994,price_change,0.83,SELL,441.79,0.79,0.82
1764482390995,price_change,0.92,SELL,274,0.79,0.82
1764482461147,price_change,0.06,BUY,4007.31,0.79,0.82
1764482507047,price_change,0.75,BUY,5089.48,0.79,0.82
1764482766028,price_change,0.76,BUY,1475.91,0.79,0.82
1764482774256,price_change,0.76,BUY,1375.91,0.79,0.82
1764482847820,price_change,0.76,BUY,1475.91,0.79,0.82
1764482932426,price_change,0.75,BUY,5109.48,0.79,0.82
1764483120593,price_change,0.76,BUY,1375.91,0.79,0.82
1764483120897,price_change,0.74,BUY,136.61,0.79,0.82
1764483120940,price_change,0.75,BUY,5129.48,0.79,0.82
1764483138230,price_change,0.76,BUY,1475.91,0.79,0.82
1764483235666,price_change,0.92,SELL,0,0.79,0.82
1764483235666,price_change,0.83,SELL,312.79,0.79,0.82
1764483235666,price_change,0.89,SELL,0,0.79,0.82
1764483235666,price_change,0.86,SELL,335,0.79,0.82
1764483334683,price_change,0.38,BUY,0,0.79,0.82
1764483334732,price_change,0.51,BUY,5,0.79,0.82
1764483362739,price_change,0.26,BUY,0,0.79,0.82
1764483397206,price_change,0.83,SELL,459.79,0.79,0.82
1764483397208,price_change,0.92,SELL,312,0.79,0.82
1764483397209,price_change,0.86,SELL,513,0.79,0.82
1764483397210,price_change,0.89,SELL,227,0.79,0.82
1764483408299,price_change,0.98,SELL,0,0.79,0.82
1764483408501,price_change,0.98,SELL,3025,0.79,0.82
1764483408799,price_change,0.37,BUY,0,0.79,0.82
1764483408959,price_change,0.37,BUY,3033,0.79,0.82
1764483409001,price_change,0.29,BUY,30,0.79,0.82
1764483409469,price_change,0.29,BUY,0,0.79,0.82
1764483602700,price_change,0.18,BUY,0,0.79,0.82
1764483602816,price_change,0.06,BUY,9.31,0.79,0.82
1764483602861,price_change,0.16,BUY,0,0.79,0.82
1764483603067,price_change,0.76,BUY,1375.91,0.79,0.82
1764483614464,price_change,0.85,SELL,332.2,0.79,0.82
1764483614464,price_change,0.76,BUY,1365.91,0.79,0.82
1764483690621,price_change,0.76,BUY,1465.91,0.79,0.82
1764483694750,price_change,0.27,BUY,1184,0.79,0.82
1764483778116,price_change,0.27,BUY,0,0.79,0.82
1764483798577,price_change,0.26,BUY,1230,0.79,0.82
1764483844600,price_change,0.06,BUY,4007.31,0.79,0.82
1764483887193,price_change,0.18,BUY,888,0.79,0.82
1764483930642,price_change,0.06,BUY,3998,0.79,0.82
1764483932552,price_change,0.07,BUY,7.98,0.79,0.82
1764484080809,price_change,0.76,BUY,1365.91,0.79,0.82
1764484113492,price_change,0.16,BUY,1000,0.79,0.82
1764484150221,price_change,0.76,BUY,1465.91,0.79,0.82
1764484448667,price_change,0.26,BUY,0,0.79,0.82
1764484454440,price_change,0.89,SELL,0,0.79,0.82
1764484454440,price_change,0.86,SELL,335,0.79,0.82
1764484454440,price_change,0.92,SELL,0,0.79,0.82
1764484454440,price_change,0.83,SELL,312.79,0.79,0.82
1764484560429,price_change,0.76,BUY,1865.91,0.79,0.82
1764484562000,price_change,0.75,BUY,5109.48,0.79,0.82
1764484565567,price_change,0.75,BUY,5129.48,0.79,0.82
1764484615397,price_change,0.83,SELL,459.79,0.79,0.82
1764484615398,price_change,0.89,SELL,227,0.79,0.82
1764484615400,price_change,0.92,SELL,312,0.79,0.82
1764484615401,price_change,0.86,SELL,513,0.79,0.82
1764484646793,price_change,0.26,BUY,1230,0.79,0.82
1764485285020,price_change,0.51,BUY,0,0.79,0.82
1764485285112,price_change,0.51,BUY,5,0.79,0.82
1764485402181,price_change,0.06,BUY,0,0.79,0.82
1764485402224,price_change,0.16,BUY,0,0.79,0.82
1764485402892,price_change,0.18,BUY,0,0.79,0.82
1764485421762,price_change,0.85,SELL,342.2,0.79,0.82
1764485421925,price_change,0.76,BUY,1875.91,0.79,0.82
1764485655029,price_change,0.86,SELL,335,0.79,0.82
1764485655029,price_change,0.92,SELL,0,0.79,0.82
1764485655029,price_change,0.89,SELL,0,0.79,0.82
1764485655029,price_change,0.83,SELL,312.79,0.79,0.82
1764485691102,price_change,0.18,BUY,888,0.79,0.82
1764485715258,price_change,0.06,BUY,3998,0.79,0.82
1764485811937,price_change,0.89,SELL,227,0.79,0.82
1764485811939,price_change,0.92,SELL,312,0.79,0.82
1764485811941,price_change,0.83,SELL,459.79,0.79,0.82
1764485811942,price_change,0.86,SELL,513,0.79,0.82
1764485913163,price_change,0.98,SELL,0,0.79,0.82
1764485913351,price_change,0.98,SELL,3015,0.79,0.82
1764485913649,price_change,0.37,BUY,0,0.79,0.82
1764485913797,price_change,0.29,BUY,30,0.79,0.82
1764485913816,price_change,0.37,BUY,3028,0.79,0.82
1764485914276,price_change,0.29,BUY,0,0.79,0.82
1764486083000,price_change,0.75,BUY,5109.48,0.79,0.82
1764486084571,price_change,0.75,BUY,5129.48,0.79,0.82
1764486113804,price_change,0.26,BUY,0,0.79,0.82
1764486135000,price_change,0.73,BUY,269.67,0.79,0.82
1764486135167,price_change,0.74,BUY,202.86,0.79,0.82
1764486169746,price_change,0.16,BUY,1000,0.79,0.82
1764486245551,price_change,0.26,BUY,1230,0.79,0.82
1764486567156,price_change,0.26,BUY,0,0.79,0.82
