timestamp,event_type,price,side,size,best_bid,best_ask
1764454168947,book,0.18,BUY,673.62,0.18,0.21
1764454168947,book,0.21,SELL,95,0.18,0.21
1764454434983,book,0.18,BUY,673.62,0.18,0.21
1764454434983,book,0.21,SELL,95,0.18,0.21
1764454645937,price_change,0.08,BUY,0,0.18,0.21
1764454645937,price_change,0.14,BUY,335,0.18,0.21
1764454645937,price_change,0.17,BUY,312.79,0.18,0.21
1764454645937,price_change,0.11,BUY,0,0.18,0.21
1764454707037,price_change,0.29,SELL,0,0.18,0.21
1764454707051,price_change,0.32,SELL,0,0.18,0.21
1764454707174,price_change,0.3,SELL,25,0.18,0.21
1764454707300,price_change,0.49,SELL,30,0.18,0.21
1764454745695,price_change,0.74,SELL,1230,0.18,0.21
1764454776060,price_change,0.24,SELL,1363.31,0.18,0.21
1764454776410,price_change,0.24,SELL,1383.31,0.18,0.21
1764454802195,price_change,0.94,SELL,0,0.18,0.21
1764454802432,price_change,0.84,SELL,0,0.18,0.21
1764454802970,price_change,0.82,SELL,0,0.18,0.21
1764454805577,price_change,0.17,BUY,441.79,0.18,0.21
1764454807478,price_change,0.14,BUY,492,0.18,0.21
1764454807480,price_change,0.11,BUY,199,0.18,0.21
1764454807481,price_change,0.08,BUY,274,0.18,0.21
1764455077809,price_change,0.82,SELL,888,0.18,0.21
1764455171000,price_change,0.31,SELL,63.78,0.18,0.21
1764455196184,price_change,0.3,SELL,5,0.18,0.21
1764455196301,price_change,0.29,SELL,20,0.18,0.21
1764455196450,price_change,0.64,SELL,0,0.18,0.21
1764455196497,price_change,0.64,SELL,5,0.18,0.21
1764455217965,price_change,0.02,BUY,0,0.18,0.21
1764455218143,price_change,0.02,BUY,3041,0.18,0.21
1764455218478,price_change,0.65,SELL,0,0.18,0.21
1764455218658,price_change,0.65,SELL,3188,0.18,0.21
1764455244056,price_change,0.84,SELL,1000,0.18,0.21
1764455312167,price_change,0.26,SELL,104.7,0.18,0.21
1764455482839,price_change,0.94,SELL,3998,0.18,0.21
1764480043675,book,0.18,BUY,673.62,0.18,0.21
1764480043675,book,0.21,SELL,95,0.18,0.21
1764480224002,price_change,0.25,SELL,129.48,0.18,0.21
1764480226470,price_change,0.25,SELL,149.48,0.18,0.21
1764480295891,price_change,0.82,SELL,888,0.18,0.21
1764480321813,price_change,0.93,SELL,0,0.18,0.21
1764480322527,price_change,0.94,SELL,9.31,0.18,0.21
1764480482002,price_change,0.26,SELL,116.61,0.18,0.21
1764480482003,price_change,0.27,SELL,246.6,0.18,0.21
1764480482065,price_change,0.26,SELL,205.94,0.18,0.21
1764480482112,price_change,0.27,SELL,260.44,0.18,0.21
1764480540955,price_change,0.94,SELL,4007.31,0.18,0.21
1764480714764,price_change,0.02,BUY,0,0.18,0.21
1764480714935,price_change,0.02,BUY,3043,0.18,0.21
1764480715225,price_change,0.63,SELL,0,0.18,0.21
1764480715391,price_change,0.63,SELL,3025,0.18,0.21
1764480723443,price_change,0.84,SELL,1000,0.18,0.21
1764481054200,price_change,0.14,BUY,335,0.18,0.21
1764481054200,price_change,0.11,BUY,0,0.18,0.21
1764481054200,price_change,0.08,BUY,0,0.18,0.21
1764481054200,price_change,0.17,BUY,312.79,0.18,0.21
1764481066817,price_change,0.24,SELL,1365.91,0.18,0.21
1764481066817,price_change,0.15,BUY,332.2,0.18,0.21
1764481198233,price_change,0.08,BUY,274,0.18,0.21
1764481198234,price_change,0.14,BUY,492,0.18,0.21
1764481198236,price_change,0.17,BUY,441.79,0.18,0.21
1764481198237,price_change,0.11,BUY,199,0.18,0.21
1764481373506,price_change,0.62,SELL,0,0.18,0.21
1764481373563,price_change,0.62,SELL,5,0.18,0.21
1764481802220,price_change,0.82,SELL,0,0.18,0.21
1764481802305,price_change,0.84,SELL,0,0.18,0.21
1764481802376,price_change,0.94,SELL,9.31,0.18,0.21
1764481808183,price_change,0.15,BUY,342.2,0.18,0.21
1764481808236,price_change,0.24,SELL,1375.91,0.18,0.21
1764481809000,price_change,0.25,SELL,129.48,0.18,0.21
1764481815486,price_change,0.25,SELL,149.48,0.18,0.21
1764481847743,price_change,0.25,SELL,5149.48,0.18,0.21
1764481847842,price_change,0.28,SELL,0,0.18,0.21
