timestamp,event_type,price,side,size,best_bid,best_ask
2025-12-08T03:13:47.183000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:13:47.183000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:14:37.380000+00:00,price_change,0.87,SELL,1390.9,0.82,0.85
2025-12-08T03:14:37.380000+00:00,price_change,0.9,SELL,444,0.82,0.85
2025-12-08T03:27:06.863000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:27:06.863000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:28:29.717000+00:00,price_change,0.08,BUY,3000,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.82,BUY,412.39,0.82,0.85
2025-12-08T03:31:37.603000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:36:11.436000+00:00,price_change,0.8,BUY,36.84,0.82,0.85
2025-12-08T03:36:28.849000+00:00,price_change,0.74,BUY,40,0.82,0.85
2025-12-08T03:36:29.014000+00:00,price_change,0.79,BUY,228.25,0.82,0.85
2025-12-08T03:36:31.089000+00:00,price_change,0.74,BUY,20,0.82,0.85
2025-12-08T03:36:39.288000+00:00,price_change,0.79,BUY,248.25,0.82,0.85
2025-12-08T03:38:51.934000+00:00,price_change,0.82,BUY,406.83,0.82,0.85
2025-12-08T03:38:51.934000+00:00,book,0.82,BUY,406.83,0.82,0.85
2025-12-08T03:38:51.934000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:44:48.825000+00:00,book,0.82,BUY,406.83,0.82,0.85
2025-12-08T03:44:48.825000+00:00,book,0.85,SELL,338.86,0.82,0.85
2025-12-08T03:47:13.285000+00:00,price_change,0.87,SELL,1390.9,0.82,0.85
2025-12-08T03:47:13.285000+00:00,price_change,0.9,SELL,444,0.82,0.85
2025-12-08T03:48:22.717000+00:00,price_change,0.29,BUY,0,0.82,0.85
2025-12-08T03:50:02.421000+00:00,price_change,0.16,BUY,0,0.82,0.85
2025-12-08T03:50:02.466000+00:00,price_change,0.08,BUY,100,0.82,0.85
2025-12-08T03:50:02.770000+00:00,price_change,0.18,BUY,0,0.82,0.85
2025-12-08T03:51:26.542000+00:00,price_change,0.87,SELL,183.9,0.82,0.85
2025-12-08T03:51:28.926000+00:00,price_change,0.87,SELL,1390.9,0.82,0.85
2025-12-08T03:51:40.445000+00:00,price_change,0.29,BUY,1034,0.82,0.85
