timestamp,event_type,price,side,size,best_bid,best_ask
1764453950001,book,0.35,BUY,20.52,0.35,0.37
1764453950001,book,0.37,SELL,695,0.35,0.37
1764454252842,book,0.35,BUY,20.52,0.35,0.37
1764454252842,book,0.37,SELL,695,0.35,0.37
1764454550006,book,0.35,BUY,20.52,0.35,0.37
1764454550006,book,0.37,SELL,695,0.35,0.37
1764454776060,price_change,0.41,SELL,274.6,0.35,0.37
1764454776459,price_change,0.41,SELL,374.6,0.35,0.37
1764454802212,price_change,0.94,SELL,0,0.35,0.37
1764454802365,price_change,0.87,SELL,1230,0.35,0.37
1764454802961,price_change,0.87,SELL,0,0.35,0.37
1764454830924,price_change,0.39,SELL,45.1,0.35,0.37
1764454850000,price_change,0.39,SELL,5.1,0.35,0.37
1764454873139,price_change,0.81,SELL,1689.35,0.35,0.37
1764455076964,price_change,0.87,SELL,1230,0.35,0.37
1764455077118,price_change,0.56,SELL,0,0.35,0.37
1764455077421,price_change,0.46,SELL,30,0.35,0.37
1764455130454,price_change,0.39,SELL,45.1,0.35,0.37
1764455130592,price_change,0.47,SELL,34.54,0.35,0.37
1764455131154,price_change,0.46,SELL,371,0.35,0.37
1764455150002,price_change,0.39,SELL,5.1,0.35,0.37
1764455172000,price_change,0.47,SELL,0,0.35,0.37
1764455216945,price_change,0.06,BUY,0,0.35,0.37
1764455217037,price_change,0.81,SELL,5.35,0.35,0.37
1764455217110,price_change,0.06,BUY,5038,0.35,0.37
1764455217449,price_change,0.7,SELL,0,0.35,0.37
1764455217620,price_change,0.7,SELL,3018,0.35,0.37
1764455312227,price_change,0.42,SELL,101.96,0.35,0.37
1764455315808,price_change,0.94,SELL,3998,0.35,0.37
1764455367648,price_change,0.87,SELL,2460,0.35,0.37
1764455430511,price_change,0.39,SELL,45.1,0.35,0.37
1764455450000,price_change,0.39,SELL,5.1,0.35,0.37
1764455450146,price_change,0.44,SELL,0,0.35,0.37
1764455450226,price_change,0.42,SELL,121.96,0.35,0.37
1764455450351,price_change,0.43,SELL,172.57,0.35,0.37
1764455450566,price_change,0.42,SELL,141.96,0.35,0.37
1764480171382,book,0.35,BUY,20.52,0.35,0.36
1764480171382,book,0.36,SELL,5,0.35,0.36
1764480190577,price_change,0.38,SELL,240,0.35,0.36
1764480210001,price_change,0.38,SELL,200,0.35,0.36
1764480223790,price_change,0.57,SELL,0,0.35,0.36
1764480223838,price_change,0.57,SELL,5,0.35,0.36
1764480255267,price_change,0.43,SELL,0,0.35,0.36
1764480255382,price_change,0.43,SELL,20,0.35,0.36
1764480255462,price_change,0.42,SELL,386.02,0.35,0.36
1764480255577,price_change,0.42,SELL,406.02,0.35,0.36
1764480295974,price_change,0.87,SELL,3690,0.35,0.36
1764480384002,price_change,0.42,SELL,384.86,0.35,0.36
1764480427000,price_change,0.42,SELL,284.86,0.35,0.36
