2026-03-28 12:44:58,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-GAL at 0.0100 and Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-TAB at 0.9700 of size 6 | Combined Price: 5.9100
2026-03-28 12:44:58,361 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-TAB at 0.9700 and Buy YES on KXATPSETWINNER-26MAR28GALTAB-1-GAL at 0.0100 of size 6 | Combined Price: 5.9100
2026-03-28 12:46:30,331 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXWTAMATCH-26MAR28VEKVIC-VEK at 0.9300 and Buy YES on KXWTAMATCH-26MAR28VEKVIC-VIC at 0.0600 of size 375 | Combined Price: 374.4500
2026-03-28 12:46:30,331 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXWTAMATCH-26MAR28VEKVIC-VIC at 0.0600 and Buy YES on KXWTAMATCH-26MAR28VEKVIC-VEK at 0.9300 of size 375 | Combined Price: 374.4500
2026-03-28 12:47:32,733 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXVALORANTMAP-26MAR28UCAMMDR-1-UCAM at 0.44 and Buy NO on KXVALORANTMAP-26MAR28UCAMMDR-1-MDR at 0.38 of size 198 | Combined Price: 169.05
2026-03-28 12:47:32,733 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXVALORANTMAP-26MAR28UCAMMDR-1-MDR at 0.38 and Buy NO on KXVALORANTMAP-26MAR28UCAMMDR-1-UCAM at 0.44 of size 198 | Combined Price: 169.05
2026-03-28 13:00:11,701 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXSHLGAME-26MAR281015VAXBRY-VAX at 0.95 and Buy NO on KXSHLGAME-26MAR281015VAXBRY-BRY at 0.01 of size 2 | Combined Price: 1.94
2026-03-28 13:00:11,701 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXSHLGAME-26MAR281015VAXBRY-BRY at 0.01 and Buy NO on KXSHLGAME-26MAR281015VAXBRY-VAX at 0.95 of size 2 | Combined Price: 1.94
2026-03-28 13:05:25,375 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXLOLMAP-26MAR28VITKC-2-VIT at 0.33 and Buy NO on KXLOLMAP-26MAR28VITKC-2-KC at 0.52 of size 48 | Combined Price: 42.39
2026-03-28 13:05:25,375 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXLOLMAP-26MAR28VITKC-2-KC at 0.52 and Buy NO on KXLOLMAP-26MAR28VITKC-2-VIT at 0.33 of size 48 | Combined Price: 42.39
2026-03-28 15:46:27,638 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNHLGAME-26MAR28OTTTB-TB at 0.9700 and Buy YES on KXNHLGAME-26MAR28OTTTB-OTT at 0.0200 of size 1020 | Combined Price: 1013.2800
