2026-03-29 12:07:55,191 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXIPLGAME-26MAR29KKRMI-MI at 0.64 and Buy NO on KXIPLGAME-26MAR29KKRMI-KKR at 0.32 of size 180 | Combined Price: 178.46
2026-03-29 12:07:55,191 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXIPLGAME-26MAR29KKRMI-KKR at 0.32 and Buy NO on KXIPLGAME-26MAR29KKRMI-MI at 0.64 of size 180 | Combined Price: 178.46
2026-03-29 12:44:07,053 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:07,053 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:08,075 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:08,091 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:09,094 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:09,094 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:10,152 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:10,152 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:11,179 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:11,179 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:12,217 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 of size -300 | Combined Price: -307.2600
2026-03-29 12:44:12,218 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.1200 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.8900 of size -300 | Combined Price: -307.2600
2026-03-29 12:52:53,278 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.9000 and Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.0800 of size 1800 | Combined Price: 1784.6200
2026-03-29 12:52:53,278 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXIPLGAME-26MAR29KKRMI-KKR at 0.0800 and Buy YES on KXIPLGAME-26MAR29KKRMI-MI at 0.9000 of size 1800 | Combined Price: 1784.6200
