2026-02-22 17:21:56,309 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3815.0)
2026-02-22 17:21:56,362 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3787.0)
2026-02-22 17:21:56,362 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3787.0)
2026-02-22 17:21:56,396 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3787.0)
2026-02-22 17:21:56,435 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.67, 50.0) | Best Ask: (Decimal('0.6800'), 8476.0)
2026-02-22 17:21:56,517 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3787.0)
2026-02-22 17:21:56,666 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3637.0)
2026-02-22 17:21:56,670 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.67, 50.0) | Best Ask: (Decimal('0.6800'), 8476.0)
2026-02-22 17:21:56,672 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.67, 50.0) | Best Ask: (Decimal('0.6800'), 8476.0)
2026-02-22 17:21:56,740 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3587.0)
2026-02-22 17:21:56,741 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 9.0) | Best Ask: (Decimal('0.3400'), 3587.0)
2026-02-22 17:21:56,745 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 29.0) | Best Ask: (Decimal('0.3400'), 3587.0)
2026-02-22 17:21:56,763 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.67, 50.0) | Best Ask: (Decimal('0.6800'), 8469.0)
2026-02-22 17:21:56,775 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 29.0) | Best Ask: (Decimal('0.3400'), 3736.0)
2026-02-22 17:21:56,829 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.33, 20.0) | Best Ask: (Decimal('0.3400'), 3736.0)
2026-02-22 17:21:56,829 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.32, 1774.0) | Best Ask: (Decimal('0.3400'), 3736.0)
2026-02-22 17:21:56,830 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.32, 1769.0) | Best Ask: (Decimal('0.3400'), 3736.0)
2026-02-22 17:21:56,831 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.32, 1703.0) | Best Ask: (Decimal('0.3400'), 3736.0)
2026-02-22 17:21:56,868 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.32, 1703.0) | Best Ask: (Decimal('0.3400'), 3587.0)
2026-02-22 17:21:56,877 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.97, 17606.0) | Best Ask: (Decimal('0.9800'), 85793.0)
2026-02-22 17:21:56,892 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.67, 48.0) | Best Ask: (Decimal('0.6800'), 8469.0)
2026-02-22 17:21:56,894 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.32, 1403.0) | Best Ask: (Decimal('0.3400'), 3587.0)
