2026-02-26 21:37:20,326 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,333 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.33, 910.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,341 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,341 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 2682.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,344 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,346 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,350 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.7100'), 16142.0)
2026-02-26 21:37:20,352 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.7100'), 17162.0)
2026-02-26 21:37:20,352 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.7100'), 18182.0)
2026-02-26 21:37:20,352 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.7100'), 19202.0)
2026-02-26 21:37:20,352 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.7100'), 20222.0)
2026-02-26 21:37:20,358 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,358 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,360 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,360 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,363 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,363 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,363 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,366 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,366 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,366 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.3, 58.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:37:20,366 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,370 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,370 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.36, 1341.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,370 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 3780.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,373 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 2439.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,378 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 1098.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:37:20,380 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.35, 1098.0) | Best Ask: (Decimal('0.2900'), 36657.0)
