2026-02-27 21:32:11,806 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.72, 2438.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,811 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2700'), 500.0)
2026-02-27 21:32:11,812 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2700'), 500.0)
2026-02-27 21:32:11,845 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.72, 977.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,851 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.72, 972.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,852 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 100.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,853 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2700'), 500.0)
2026-02-27 21:32:11,853 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2800'), 853.0)
2026-02-27 21:32:11,853 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 100.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,853 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 100.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,853 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2800'), 853.0)
2026-02-27 21:32:11,862 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1164.0) | Best Ask: (Decimal('0.2800'), 853.0)
2026-02-27 21:32:11,862 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.72, 912.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,866 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.72, 912.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,866 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 136.0) | Best Ask: (Decimal('0.2800'), 853.0)
2026-02-27 21:32:11,866 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 136.0) | Best Ask: (Decimal('0.2900'), 43428.0)
2026-02-27 21:32:11,873 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 136.0) | Best Ask: (Decimal('0.2800'), 55.0)
2026-02-27 21:32:11,897 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 100.0) | Best Ask: (Decimal('0.7400'), 483.0)
2026-02-27 21:32:11,900 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 100.0) | Best Ask: (Decimal('0.7400'), 2056.0)
2026-02-27 21:32:11,900 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1709.0) | Best Ask: (Decimal('0.2800'), 55.0)
2026-02-27 21:32:11,900 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1709.0) | Best Ask: (Decimal('0.2800'), 55.0)
2026-02-27 21:32:11,915 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1709.0) | Best Ask: (Decimal('0.2800'), 55.0)
2026-02-27 21:32:11,918 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.71, 526.0) | Best Ask: (Decimal('0.7400'), 2056.0)
2026-02-27 21:32:11,922 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 1709.0) | Best Ask: (Decimal('0.2800'), 55.0)
