2026-03-01 22:13:23,464 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01OKCDAL-OKC | Best Bid: (0.99, 316897.0) | Best Ask: (None, None)
2026-03-01 22:13:23,485 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 23260.0) | Best Ask: (Decimal('0.9400'), 13110.0)
2026-03-01 22:13:23,486 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 23260.0) | Best Ask: (Decimal('0.9400'), 15870.0)
2026-03-01 22:13:23,487 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 23242.0) | Best Ask: (Decimal('0.9400'), 15870.0)
2026-03-01 22:13:23,522 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 23242.0) | Best Ask: (Decimal('0.9400'), 15870.0)
2026-03-01 22:13:23,584 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 23242.0) | Best Ask: (Decimal('0.9400'), 15558.0)
2026-03-01 22:13:23,649 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.15, 19786.0) | Best Ask: (Decimal('0.1700'), 71439.0)
2026-03-01 22:13:23,652 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.15, 19786.0) | Best Ask: (Decimal('0.1700'), 71439.0)
2026-03-01 22:13:23,655 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01SACLAL-SAC | Best Bid: (0.02, 66829.0) | Best Ask: (Decimal('0.0300'), 53594.0)
2026-03-01 22:13:23,761 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01OKCDAL-DAL | Best Bid: (None, None) | Best Ask: (Decimal('0.0100'), 364734.0)
2026-03-01 22:13:23,797 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01OKCDAL-DAL | Best Bid: (None, None) | Best Ask: (Decimal('0.0100'), 364734.0)
2026-03-01 22:13:23,808 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.15, 19774.0) | Best Ask: (Decimal('0.1700'), 71439.0)
