2026-02-22 17:22:12,233 | INFO | Loaded snapshot for Asset ID: aec-nba-tor-mil-2026-02-22-inverse | Best Bid: (Decimal('0.020'), Decimal('178.000')) | Best Ask: (Decimal('0.030'), Decimal('250.000'))
2026-02-22 17:22:12,401 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22 | Best Bid: (Decimal('0.810'), Decimal('45769.000')) | Best Ask: (Decimal('0.820'), Decimal('16877.000'))
2026-02-22 17:22:12,401 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22-inverse | Best Bid: (Decimal('0.180'), Decimal('16877.000')) | Best Ask: (Decimal('0.190'), Decimal('45769.000'))
2026-02-22 17:22:12,510 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.640'), Decimal('703.000')) | Best Ask: (Decimal('0.670'), Decimal('2959.000'))
2026-02-22 17:22:12,510 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2959.000')) | Best Ask: (Decimal('0.360'), Decimal('703.000'))
2026-02-22 17:22:12,513 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22 | Best Bid: (Decimal('0.810'), Decimal('45769.000')) | Best Ask: (Decimal('0.820'), Decimal('16877.000'))
2026-02-22 17:22:12,514 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22-inverse | Best Bid: (Decimal('0.180'), Decimal('16877.000')) | Best Ask: (Decimal('0.190'), Decimal('45769.000'))
2026-02-22 17:22:12,545 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.640'), Decimal('703.000')) | Best Ask: (Decimal('0.670'), Decimal('2959.000'))
2026-02-22 17:22:12,546 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2959.000')) | Best Ask: (Decimal('0.360'), Decimal('703.000'))
2026-02-22 17:22:12,574 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.640'), Decimal('659.000')) | Best Ask: (Decimal('0.670'), Decimal('2959.000'))
2026-02-22 17:22:12,575 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2959.000')) | Best Ask: (Decimal('0.360'), Decimal('659.000'))
