2026-03-01 22:04:40,372 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('622.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,389 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('622.000'))
2026-03-01 22:04:40,398 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('622.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,402 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('622.000'))
2026-03-01 22:04:40,563 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('1137.000')) | Best Ask: (Decimal('0.080'), Decimal('3362.000'))
2026-03-01 22:04:40,563 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.920'), Decimal('3362.000')) | Best Ask: (Decimal('0.940'), Decimal('1137.000'))
2026-03-01 22:04:40,605 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('622.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,605 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('622.000'))
2026-03-01 22:04:40,620 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.030'), Decimal('199.000')) | Best Ask: (Decimal('0.040'), Decimal('1162.000'))
2026-03-01 22:04:40,621 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.960'), Decimal('1162.000')) | Best Ask: (Decimal('0.970'), Decimal('199.000'))
2026-03-01 22:04:40,682 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.030'), Decimal('199.000')) | Best Ask: (Decimal('0.040'), Decimal('1162.000'))
2026-03-01 22:04:40,683 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.960'), Decimal('1162.000')) | Best Ask: (Decimal('0.970'), Decimal('199.000'))
2026-03-01 22:04:40,716 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.030'), Decimal('199.000')) | Best Ask: (Decimal('0.040'), Decimal('1162.000'))
2026-03-01 22:04:40,716 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.960'), Decimal('1162.000')) | Best Ask: (Decimal('0.970'), Decimal('199.000'))
2026-03-01 22:04:40,734 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.090'), Decimal('2251.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,734 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.910'), Decimal('2251.000'))
2026-03-01 22:04:40,782 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.030'), Decimal('199.000')) | Best Ask: (Decimal('0.040'), Decimal('1162.000'))
2026-03-01 22:04:40,784 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.960'), Decimal('1162.000')) | Best Ask: (Decimal('0.970'), Decimal('199.000'))
2026-03-01 22:04:40,792 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('458.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,793 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('458.000'))
2026-03-01 22:04:40,831 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('1137.000')) | Best Ask: (Decimal('0.080'), Decimal('3362.000'))
2026-03-01 22:04:40,832 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.920'), Decimal('3362.000')) | Best Ask: (Decimal('0.940'), Decimal('1137.000'))
2026-03-01 22:04:40,838 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('1137.000')) | Best Ask: (Decimal('0.080'), Decimal('3362.000'))
2026-03-01 22:04:40,839 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.920'), Decimal('3362.000')) | Best Ask: (Decimal('0.940'), Decimal('1137.000'))
2026-03-01 22:04:40,845 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('458.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,846 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('458.000'))
2026-03-01 22:04:40,869 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.030'), Decimal('199.000')) | Best Ask: (Decimal('0.040'), Decimal('1162.000'))
2026-03-01 22:04:40,869 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.960'), Decimal('1162.000')) | Best Ask: (Decimal('0.970'), Decimal('199.000'))
2026-03-01 22:04:40,886 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.100'), Decimal('468.000')) | Best Ask: (Decimal('0.120'), Decimal('3772.000'))
2026-03-01 22:04:40,887 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.880'), Decimal('3772.000')) | Best Ask: (Decimal('0.900'), Decimal('468.000'))
2026-03-01 22:04:41,063 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('1137.000')) | Best Ask: (Decimal('0.080'), Decimal('3362.000'))
