2026-03-05 16:29:46,572 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('12870.000')) | Best Ask: (Decimal('0.660'), Decimal('11276.000'))
2026-03-05 16:29:46,588 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07 | Best Bid: (Decimal('0.310'), Decimal('1207.000')) | Best Ask: (Decimal('0.340'), Decimal('208.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('208.000')) | Best Ask: (Decimal('0.690'), Decimal('1207.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.340'), Decimal('11286.000')) | Best Ask: (Decimal('0.360'), Decimal('12870.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('12870.000')) | Best Ask: (Decimal('0.660'), Decimal('11286.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07 | Best Bid: (Decimal('0.310'), Decimal('1207.000')) | Best Ask: (Decimal('0.340'), Decimal('208.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('208.000')) | Best Ask: (Decimal('0.690'), Decimal('1207.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-rictur-albmon-2026-03-07 | Best Bid: (Decimal('0.370'), Decimal('963.000')) | Best Ask: (Decimal('0.390'), Decimal('2056.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-rictur-albmon-2026-03-07-inverse | Best Bid: (Decimal('0.610'), Decimal('2056.000')) | Best Ask: (Decimal('0.630'), Decimal('963.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-rictur-albmon-2026-03-07 | Best Bid: (Decimal('0.370'), Decimal('963.000')) | Best Ask: (Decimal('0.390'), Decimal('2056.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-rictur-albmon-2026-03-07-inverse | Best Bid: (Decimal('0.610'), Decimal('2056.000')) | Best Ask: (Decimal('0.630'), Decimal('963.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.340'), Decimal('11286.000')) | Best Ask: (Decimal('0.360'), Decimal('12860.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('12860.000')) | Best Ask: (Decimal('0.660'), Decimal('11286.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.340'), Decimal('11286.000')) | Best Ask: (Decimal('0.360'), Decimal('12860.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('12860.000')) | Best Ask: (Decimal('0.660'), Decimal('11286.000'))
2026-03-05 16:29:46,589 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07 | Best Bid: (Decimal('0.310'), Decimal('1207.000')) | Best Ask: (Decimal('0.340'), Decimal('208.000'))
2026-03-05 16:29:46,594 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('208.000')) | Best Ask: (Decimal('0.690'), Decimal('1207.000'))
2026-03-05 16:29:46,594 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07 | Best Bid: (Decimal('0.310'), Decimal('1207.000')) | Best Ask: (Decimal('0.340'), Decimal('208.000'))
2026-03-05 16:29:46,594 | INFO | Loaded snapshot for Asset ID: aec-ufc-reider-caibor-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('208.000')) | Best Ask: (Decimal('0.690'), Decimal('1207.000'))
